Name,year_obtained_Cristiana,year_obtained,CoderemonteeHarmonise3years,codenumremonteeHarmonise3years,codenumremonteeAvg3years,IDJeremyYear1,coderemonteeYear1,codenumremonteeYear1,IDJeremyYear2,coderemonteeYear2,codenumremonteeYear2,IDJeremyYear3,coderemonteeYear3,codenumremonteeYear3,Nb_Clust_A3,Lmax_P_A3,Rat_P_A3,Min_M_A3,DifMax_M_A3,Min_V_A3,Area_Peak_Inflo_A3,Reb_Mag_A3,Max_Peak_A3,Max_Reb_A3,First_Reb_A3,Rat_Peak_A3,First_Flo_A3,Cont_Flo_A3,PCo1,PCo2,PCo3,PCo4,PCo5
adam_F4,1838,1838,R,2,2,R64,R,2,R91,R,2,R112,R,2,4,-0.4974877343,0.6445844434,3.2299776675,12.9163764423,0.3700371115,5.7874948488,0.0754352031,6.0659726344,0.254262326,12,0.0419161677,2,0,-202.6184496869,-83.6870111851,61.1038639915,145.130519885,27.7608808861
adam_messerich_A8,1920,1920,RF,3,2.66,R66,R,2,RF86,RF,3,RF112,RF,3,5,-0.8417326761,1.3203839695,2.3427118424,23.0296238611,0.645534183,14.1008350233,0.2390243902,3.3444288196,1.4462394896,13,0.4324324324,1,1,-51.1563308714,-54.4692334194,56.4131567276,-15.0791835472,10.1349604312
adelaide_d_orleans_E10,1826,1826,NR,1,1.33,NR42,NR,1,NR59,NR,1,R22,R,2,2,-0.0376640851,0.0383823662,8.1333330557,19.4489724846,2.6707317299,7.6978892523,0.0556464812,15.876062756,1.1206632534,18,0.0705882353,5,0,-142.1343959304,23.7552921767,44.713053249,-4.3713908244,22.8471221005
aennchen_von_tharau_A2,1886,1886,NR,1,1,NR164,NR,1,NR235,NR,1,NR245,NR,1,1,0,0,6.8950250501,29,1.4918376286,13.6135681656,0,14.398966329,0,30,0,3,0,-64.4359175272,-16.1663743105,-3.9889301892,-85.256792985,40.5122705685
aglaia_H10,1895,1895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-165.9628182191,31.5256831544,-35.7680670187,122.7578041964,50.9063974126
agnes_A3,1900,1900,R,2,2.5,NA,NA,NA,RF27,RF,3,R31,R,2,3,-0.4895933896,0.6316526381,3.0470091175,8.0921505322,0.9001003604,21.9485928226,0.2936507937,8.7958780226,2.7127474275,7,0.308411215,1,0,184.2230588859,-154.0270933567,-134.4331405499,35.4198657658,23.8671516272
alberic_barbier_H5,1900,1900,NR,1,1,NA,NA,NA,NR150,NR,1,NR143,NR,1,2,-0.4090419838,0.5053749205,10.0917164181,2.6275526478,0.6359213239,15.3569478885,0,18.0669975159,0,30,0,8,0,-146.4102290436,25.0138158338,-24.0246161501,154.8993558515,49.9982295669
alfred_colomb_C3,1865,1852,NA,NA,2.33,RF47,RF,3,RF71,RF,3,NR193,NR,1,2,-0.6807030914,0.9752660368,10.5407315013,1.9359377252,0.4132962175,88.2564152986,0,22.0641038246,0,30,0,10,0,-99.9636770875,-110.0149518455,25.0053055076,-117.2768666808,-5.4492218966
anna_maria_de_montravel_C9,1879,1879,R,2,2.33,RF7,RF,3,R7,R,2,R9,R,2,3,-0.2221357385,0.2487408686,6.7385681451,19.246843417,0.3701506997,73.180126315,0.0426126441,205.5771516329,16.259283811,12,0.0790909091,5,0,-179.2871992043,142.1521351215,-154.3697378386,-44.3108946263,60.6813736416
antonia_d_ormois_C12,1835,1835,NA,NA,1.66,RF45,RF,3,NR230,NR,1,NR240,NR,1,2,-0.6842337774,0.9822524068,11.2696693008,1.4365144017,0.2302562564,1.9190984902,0,1.9190984902,0,30,0,11,0,137.7437471347,67.8694658472,59.6802231305,13.2469908936,9.4069642742
ayrshire_queen_G1,1835,1835,NR,1,1.33,NR176,NR,1,NR252,NR,1,R101,R,2,2,-0.3715410271,0.4499673328,6.2845070914,2.9786023272,0.334237004,5.8108955025,0.2240566038,10.4384171489,2.596357565,9,0.2487309645,5,0,-138.9991344876,-24.518259028,103.7225535389,25.5929342847,50.9513416935
