Name,Accession_name,Height_mean,Height_sd,Height_NA_out_mean,Height_NA_out_sd,Circumference_mean,Circumference_sd,Circumference_NA_out_mean,Circumference_NA_out_sd,BLUP_height,BLUP_circ,Height_2012,Circumference_2012,Height_2013,Circumference_2013,Height_2014,Circumference_2014,PCo1,PCo2,PCo3,PCo4,PCo5
adam_F4,adam,231.6666666667,181.2686771986,127.5,24.7487373415,780,180.2775637732,780,180.2775637732,133.5679000837,785.2287436185,440,580,145,830,110,930,-202.6184496869,-83.6870111851,61.1038639915,145.130519885,27.7608808861
adam_messerich_A8,adam_messerich,185,7.0710678119,185,7.0710678119,730,56.5685424949,730,56.5685424949,185.1684349911,746.2202215126,190,770,NA,NA,180,690,-51.1563308714,-54.4692334194,56.4131567276,-15.0791835472,10.1349604312
adelaide_d_orleans_E10,adelaide_d_orleans,151.6666666667,16.0727512683,151.6666666667,16.0727512683,693.3333333333,110.1514109457,693.3333333333,110.1514109457,152.6964476364,701.0152700052,145,700,170,800,140,580,-142.1343959304,23.7552921767,44.713053249,-4.3713908244,22.8471221005
aennchen_von_tharau_A2,aennchen_von_tharau,130,18.0277563773,130,18.0277563773,603.3333333333,15.2752523165,603.3333333333,15.2752523165,132.1114107272,613.5628166375,145,590,135,620,110,600,-64.4359175272,-16.1663743105,-3.9889301892,-85.256792985,40.5122705685
aglaia_H10,aglaia,47.5,3.5355339059,47.5,3.5355339059,470,14.1421356237,470,14.1421356237,59.4125777263,477.0204120265,NA,NA,45,480,50,460,-165.9628182191,31.5256831544,-35.7680670187,122.7578041964,50.9063974126
agnes_A3,agnes,187.5,45.9619407771,187.5,45.9619407771,615,21.2132034356,615,21.2132034356,189.1843918517,615.949759172,NA,NA,220,630,155,600,184.2230588859,-154.0270933567,-134.4331405499,35.4198657658,23.8671516272
alberic_barbier_H5,alberic_barbier,70,56.5685424949,70,56.5685424949,210,70.7106781187,210,70.7106781187,80.2687621394,227.9057205932,NA,NA,30,260,110,160,-146.4102290436,25.0138158338,-24.0246161501,154.8993558515,49.9982295669
alfred_colomb_C3,alfred_colomb,116.6666666667,2.8867513459,116.6666666667,2.8867513459,226.6666666667,5.7735026919,226.6666666667,5.7735026919,119.4436957061,247.5581043949,120,220,115,230,115,230,-99.9636770875,-110.0149518455,25.0053055076,-117.2768666808,-5.4492218966
anna_maria_de_montravel_C9,anna_maria_de_montravel,102.5,3.5355339059,102.5,3.5355339059,440,42.4264068712,440,42.4264068712,110.394361847,448.2764091688,NA,NA,100,470,105,410,-179.2871992043,142.1521351215,-154.3697378386,-44.3108946263,60.6813736416
antonia_d_ormois_C12,antonia_d_ormois,105,22.9128784748,105,22.9128784748,466.6666666667,81.4452781525,466.6666666667,81.4452781525,108.3594450626,480.7646467088,125,430,110,560,80,410,137.7437471347,67.8694658472,59.6802231305,13.2469908936,9.4069642742
ayrshire_queen_G1,ayrshire_queen,206.6666666667,25.1661147842,206.6666666667,25.1661147842,696.6666666667,80.8290376865,696.6666666667,80.8290376865,204.9507720984,704.2542497596,230,610,210,710,180,770,-138.9991344876,-24.518259028,103.7225535389,25.5929342847,50.9513416935
bacchante_A5,bacchante,75,18.0277563773,75,18.0277563773,176.6666666667,25.1661147842,176.6666666667,25.1661147842,79.8570862652,198.9734080795,80,200,90,180,55,150,148.6877988619,78.8956269464,74.4930451463,9.388725016,34.8334622463
baron_de_wassenaer_D4,baron_de_wassenaer,60,21.2132034356,60,21.2132034356,205,49.4974746831,205,49.4974746831,70.9993468447,223.1150534503,NA,NA,75,240,45,170,34.8270472296,9.288689072,0.613487934,-56.2979026855,-38.5116761856
beau_narcisse_H5,beau_narcisse,85,35.3553390593,85,35.3553390593,360,0,360,0,94.1728850814,371.6257348816,NA,NA,110,360,60,360,6.3829106142,32.5379224204,48.9383684646,7.8531378454,32.0438161141
belle_de_baltimore_G5,belle_de_baltimore,116.6666666667,11.5470053838,116.6666666667,11.5470053838,358.3333333333,53.4633831078,358.3333333333,53.4633831078,119.4436957061,375.4978046921,130,325,110,330,110,420,-46.370964057,97.7267390444,-1.6056290005,59.4472983256,-148.4746297191
belle_helene_A7,belle_helene,95,22.9128784748,95,22.9128784748,196.6666666667,15.2752523165,196.6666666667,15.2752523165,98.8586587968,218.4072866056,100,200,115,210,70,180,148.3839434359,77.2611588841,73.297286646,8.6055382973,33.0370098554
belle_herminie_B10,belle_herminie,115,18.0277563773,115,18.0277563773,388.3333333333,27.5378527364,388.3333333333,27.5378527364,117.8602313284,404.6486224813,100,375,135,420,110,370,144.9301676946,85.6952522638,77.6035761479,9.5519577091,31.9864910745
belle_isis_F7,belle_isis,130,39.0512483795,130,39.0512483795,406.6666666667,41.6333199893,406.6666666667,41.6333199893,132.1114107272,422.4630111303,150,360,155,440,85,420,139.8289366697,91.2040273786,76.0682982695,12.3486870135,29.3043333632
belvedere_G8,belvedere,180,43.5889894354,180,43.5889894354,1226.6666666667,25.1661147842,1226.6666666667,25.1661147842,179.6153420563,1219.2520307027,230,1200,160,1230,150,1250,-76.3519874726,130.8225437345,-102.8359617424,56.5636230514,-57.1716291808
bijou_des_amateurs_A8,bijou_des_amateurs,53.3333333333,15.2752523165,53.3333333333,15.2752523165,175,15,175,15,59.2720493559,197.3539182023,40,175,70,160,50,190,147.3416965264,84.0259619689,78.4771916564,7.5911173135,33.4108538361
blanche_moreau_A9,blanche_moreau,110,NA,110,NA,330,NA,330,NA,125.7364888285,367.0008307229,NA,NA,NA,NA,110,330,153.0315293441,61.0050160537,61.5364998158,1.3264408917,31.0417079172
blanc_pur_G4,blanc_pur,146.6666666667,28.8675134595,146.6666666667,28.8675134595,363.3333333333,64.2910050733,363.3333333333,64.2910050733,147.9460545035,380.3562743236,130,290,180,410,130,390,-89.0531213765,-106.079852213,72.5739695733,68.4603116493,-38.6875102506
blush_damask_H1,blush_damask,191.6666666667,23.6290781313,191.6666666667,23.6290781313,913.3333333333,32.1455025366,913.3333333333,32.1455025366,190.6995926997,914.7879337929,210,900,200,890,165,950,155.4423176404,-13.7395700057,-7.3492834655,5.4757467161,-6.934541869
blush_hip_B3,blush_hip,221.6666666667,36.1708906904,221.6666666667,36.1708906904,850,166.4331697709,850,166.4331697709,219.2019514972,853.2473184601,245,780,240,730,180,1040,44.6725582576,24.2437700997,51.119863752,-9.0672952929,-1.6729713737
boula_de_nanteuil_A11,boula_de_nanteuil,70,10,70,10,143.3333333333,30.550504633,143.3333333333,30.550504633,75.1066931323,166.5836105359,80,170,70,150,60,110,149.528197373,77.3026616913,73.5386639958,8.7095653821,34.2159236299
bouquet_de_venus_D6,bouquet_de_venus,63.3333333333,11.5470053838,63.3333333333,11.5470053838,176.6666666667,30.550504633,176.6666666667,30.550504633,68.7728356217,198.9734080795,70,150,70,170,50,210,143.2546062951,87.1933009796,76.5833295985,9.9750634168,31.1618824828
camaieu_G12,camaieu,68.3333333333,16.0727512683,68.3333333333,16.0727512683,193.3333333333,28.8675134595,193.3333333333,28.8675134595,73.5232287546,215.1683068513,80,210,75,210,50,160,145.3760012436,84.794197952,75.8071768418,10.7651915244,32.2162989146
capitaine_basroger_C1,capitaine_basroger,108.3333333333,11.5470053838,108.3333333333,11.5470053838,385,62.6498204307,385,62.6498204307,111.5263738179,401.4096427269,115,450,115,380,95,325,-9.6409703009,-39.0188776137,78.1558559251,-36.9568411119,30.0774896456
