INDEX	ID	Name_corCOP	date_corCOP	periode_corCOP	periode_corCOP_2decades	classification_corCOP	mean_petals_binary_less10	mean_petals_binary_more25	mean_petals	CoderemonteeHarmonise3years	codenumremonteeHarmonise3years	codenumremonteeAvg3years	IDJeremyYear1	coderemonteeYear1	codenumremonteeYear1	IDJeremyYear2	coderemonteeYear2	codenumremonteeYear2	IDJeremyYear3	coderemonteeYear3	codenumremonteeYear3	2phenylethanol	geraniol	35dimethoxytoluene	EEfarnesol	2phenylethanol_binary10	geraniol_binary10	35dimethoxytoluene_binary0p1	2phenylethanol_binary100	geraniol_binary50	35dimethoxytoluene_binary0p1	TN2014	TN2015	TN2016	PCo1	PCo2	PCo3	PCo4	PCo5	Name2	Nb_acicules_branch_binaryTatiana	Nb_prickles_branch_binaryTatiana	uper_leaf_shine_binaryTatiana	Plant_Type_BuissonnantOuAutre	Plant_Type_ArbustifOuAutre	Shape2014_CylindriqueOuNon	Shape2014_ConiqueOuNon	Shape2014_SpheriqueOuNon	shape_corolla_FlatOrNot	shape_corolla_EnCoupeOuPas	shape_corolla_GlobuleuseOuPas	shape_corolla_AquartiersOuPas	shape_corolla_ImbriqueeOuPas	color_distribution_UnicolorOrNot	main_petal_color_redpinkpurple_vs_other	main_petal_color_white_vs_other	main_petal_color_rose_vs_other	main_petal_color_purple_vs_other	Shape_2012	Shape_2013	Shape_2014	Shape_across_year	Plant_Type	Nb_acicules_branch	Nb_prickles_branch	uper_leaf_shine	shape_corolla	size_corolla	nb_flowers_per_inflorescence	color_distribution	unicolor_yesorno	main_petal_color	PCo1_2	PCo2_2	PCo3_2	PCo4_2	PCo5_2
1	adam_F4	adam	1838	[1830-1839]	[1830-1849]	T	0	1	51	R	2	2	R64	R	2	R91	R	2	R112	R	2	0.212	0	6.406	0	0	0	1	0	0	0	1	NA	0	-202.6184497	-83.68701119	61.10386399	145.1305199	27.76088089	adam_F4	0	0	1	0	1	0	0	1	1	1	0	0	0	1	1	0	1	0	2	3	3	NA	7	3	1	4	3	3	3	unicolor	1	pink	-202.6184497	-83.68701119	61.10386399	145.1305199	27.76088089
2	adam_messerich_A8	adam_messerich	1920	>1910	NA	B	0	1	32.2	RF	3	2.66	R66	R	2	RF86	RF	3	RF112	RF	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	3	NA	-51.15633087	-54.46923342	56.41315673	-15.07918355	10.13496043	adam_messerich_A8	0	0	1	0	1	0	1	0	1	1	0	0	0	1	1	0	1	0	2	NA	2	2	7	3	3	3	3	5	1	unicolor	1	pink	-51.15633087	-54.46923342	56.41315673	-15.07918355	10.13496043
3	adelaide_d_orleans_E10	adelaide_d_orleans	1826	[1820-1829]	[<1800-1829]	Hsem	0	0	22.2	NR	1	1.33	NR42	NR	1	NR59	NR	1	R22	R	2	262.877	0	0.313333	0	1	0	1	1	0	0	4	4	3	-142.1343959	23.75529218	44.71305325	-4.371390824	22.8471221	adelaide_d_orleans_E10	0	0	1	1	0	0	0	1	0	0	0	0	0	1	0	1	0	0	3	3	3	3	5	3	3	4	1	5	7	unicolor	1	white	-142.1343959	23.75529218	44.71305325	-4.371390824	22.8471221
4	aennchen_von_tharau_A2	aennchen_von_tharau	1886	[1880-1889]	[1870-1889]	Hmult	0	1	53	NR	1	1	NR164	NR	1	NR235	NR	1	NR245	NR	1	155.037	48.82	0	0	1	1	0	1	0	0	4	4	1	-64.43591753	-16.16637431	-3.988930189	-85.25679299	40.51227057	aennchen_von_tharau_A2	1	0	0	1	0	0	0	1	1	1	0	0	0	1	1	0	0	1	2	3	3	NA	5	5	3	2	3	3	3	unicolor	1	purple	-64.43591753	-16.16637431	-3.988930189	-85.25679299	40.51227057
5	aglaia_H10	aglaia	1895	[1890-1899]	[1890-1909]	Hmult	0	1	30	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	-165.9628182	31.52568315	-35.76806702	122.7578042	50.90639741	aglaia_H10	0	0	1	1	0	0	0	1	0	0	0	0	0	1	0	1	0	0	NA	2	3	NA	5	3	3	3	1	5	3	unicolor	1	white	-165.9628182	31.52568315	-35.76806702	122.7578042	50.90639741
6	agnes_A3	agnes	1900	[1900-1909]	[1890-1909]	Hrg	NA	NA	NA	R	2	2.5	NA	NA	NA	RF27	RF	3	R31	R	2	93.9167	9.15	0	0	1	0	0	0	0	0	0	0	0	184.2230589	-154.0270934	-134.4331405	35.41986577	23.86715163	agnes_A3	1	1	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	NA	3	1	NA	7	5	7	2	5	3	1	unicolor	1	yellow	184.2230589	-154.0270934	-134.4331405	35.41986577	23.86715163
7	alberic_barbier_H5	alberic_barbier	1900	[1900-1909]	[1890-1909]	Hwich	0	1	82.6	NR	1	1	NA	NA	NA	NR150	NR	1	NR143	NR	1	0	0	7.34	21.41	0	0	1	0	0	1	3	1	0	-146.410229	25.01381583	-24.02461615	154.8993559	49.99822957	alberic_barbier_H5	0	0	1	0	0	0	1	0	0	0	0	0	1	1	0	1	0	0	NA	3	2	NA	1	3	3	4	11	3	3	unicolor	1	white	-146.410229	25.01381583	-24.02461615	154.8993559	49.99822957
8	alfred_colomb_C3	alfred_colomb	1865	[1860-1869]	[1850-1869]	HP	0	1	65.8	NA	NA	2.33	RF47	RF	3	RF71	RF	3	NR193	NR	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	4	4	-99.96367709	-110.0149518	25.00530551	-117.2768667	-5.449221897	alfred_colomb_C3	0	0	0	1	0	1	0	0	0	0	1	0	0	1	1	0	0	0	2	1	1	NA	5	3	3	2	7	5	3	unicolor	1	red	-99.96367709	-110.0149518	25.00530551	-117.2768667	-5.449221897
9	anna_maria_de_montravel_C9	anna_maria_de_montravel	1879	[1870-1879]	[1870-1889]	Pol	0	0	22.8	R	2	2.33	RF7	RF	3	R7	R	2	R9	R	2	178.78	19.6375	0	0	1	1	0	1	0	0	0	1	1	-179.2871992	142.1521351	-154.3697378	-44.31089463	60.68137364	anna_maria_de_montravel_C9	0	0	1	1	0	0	0	1	0	0	1	0	0	1	0	1	0	0	NA	3	3	3	5	3	3	3	7	1	7	unicolor	1	white	-179.2871992	142.1521351	-154.3697378	-44.31089463	60.68137364
10	antonia_d_ormois_C12	antonia_d_ormois	1835	[1830-1839]	[1830-1849]	Hgal	0	1	94.8	NA	NA	1.66	RF45	RF	3	NR230	NR	1	NR240	NR	1	412.82	38.61	0	6.00667	1	1	0	1	0	1	2	3	3	137.7437471	67.86946585	59.68022313	13.24699089	9.406964274	antonia_d_ormois_C12	1	1	0	1	0	0	0	1	0	0	0	0	1	1	1	0	1	0	2	3	3	NA	5	5	5	2	11	3	3	unicolor	1	pink	137.7437471	67.86946585	59.68022313	13.24699089	9.406964274
