INDEX	ID	Name_corCOP	date_corCOP	periode_corCOP	periode_corCOP_2decades	classification_corCOP	mean_petals_binary_less10	mean_petals_binary_more25	mean_petals	CoderemonteeHarmonise3years	codenumremonteeHarmonise3years	codenumremonteeAvg3years	IDJeremyYear1	coderemonteeYear1	codenumremonteeYear1	IDJeremyYear2	coderemonteeYear2	codenumremonteeYear2	IDJeremyYear3	coderemonteeYear3	codenumremonteeYear3	2phenylethanol	geraniol	35dimethoxytoluene	EEfarnesol	2phenylethanol_binary10	geraniol_binary10	35dimethoxytoluene_binary0p1	2phenylethanol_binary100	geraniol_binary50	35dimethoxytoluene_binary0p1	TN2014	TN2015	TN2016	PCo1	PCo2	PCo3	PCo4	PCo5	Name2	Nb_acicules_branch_binaryTatiana	Nb_prickles_branch_binaryTatiana	uper_leaf_shine_binaryTatiana	Plant_Type_BuissonnantOuAutre	Plant_Type_ArbustifOuAutre	Shape2014_CylindriqueOuNon	Shape2014_ConiqueOuNon	Shape2014_SpheriqueOuNon	shape_corolla_FlatOrNot	shape_corolla_EnCoupeOuPas	shape_corolla_GlobuleuseOuPas	shape_corolla_AquartiersOuPas	shape_corolla_ImbriqueeOuPas	color_distribution_UnicolorOrNot	main_petal_color_redpinkpurple_vs_other	main_petal_color_white_vs_other	main_petal_color_rose_vs_other	main_petal_color_purple_vs_other	Shape_2012	Shape_2013	Shape_2014	Shape_across_year	Plant_Type	Nb_acicules_branch	Nb_prickles_branch	uper_leaf_shine	shape_corolla	size_corolla	nb_flowers_per_inflorescence	color_distribution	unicolor_yesorno	main_petal_color	PCo1_2	PCo2_2	PCo3_2	PCo4_2	PCo5_2
3	adelaide_d_orleans_E10	adelaide_d_orleans	1826	[1820-1829]	[<1800-1829]	Hsem	0	0	22.2	NR	1	1.33	NR42	NR	1	NR59	NR	1	R22	R	2	262.877	0	0.313333	0	1	0	1	1	0	0	4	4	3	-142.1343959	23.75529218	44.71305325	-4.371390824	22.8471221	adelaide_d_orleans_E10	0	0	1	1	0	0	0	1	0	0	0	0	0	1	0	1	0	0	3	3	3	3	5	3	3	4	1	5	7	unicolor	1	white	-142.1343959	23.75529218	44.71305325	-4.371390824	22.8471221
12	bacchante_A5	bacchante	1805	[1800-1809]	[<1800-1829]	Hgal	NA	NA	NA	NR	1	1	NR114	NR	1	NR158	NR	1	NR151	NR	1	352.59	116.76	0	16.64	1	1	0	1	1	1	1	0	0	148.6877989	78.89562695	74.49304515	9.388725016	34.83346225	bacchante_A5	1	0	0	1	0	1	0	0	0	0	0	1	0	1	1	0	1	0	2	2	1	NA	5	7	1	2	9	NA	3	unicolor	1	pink	148.6877989	78.89562695	74.49304515	9.388725016	34.83346225
14	beau_narcisse_H5	beau_narcisse	1824	[1820-1829]	[<1800-1829]	Hgal	0	1	66.6	NR	1	1.33	NR1	NR	1	NR1	NR	1	R1	R	2	263.763	97.3033	0	4.08	1	1	0	1	1	1	1	0	2	6.382910614	32.53792242	48.93836846	7.853137845	32.04381611	beau_narcisse_H5	1	0	0	1	0	1	0	0	0	0	0	1	0	1	1	0	0	1	NA	3	1	NA	5	5	3	2	9	5	3	unicolor	1	purple	6.382910614	32.53792242	48.93836846	7.853137845	32.04381611
16	belle_helene_A7	belle_helene	1815	[1810-1819]	[<1800-1829]	Hgal	NA	NA	NA	NR	1	1	NR10	NR	1	NR14	NR	1	NR7	NR	1	422.317	51.19	0	9.22667	1	1	0	1	1	1	1	0	0	148.3839434	77.26115888	73.29728665	8.605538297	33.03700986	belle_helene_A7	1	0	0	1	0	1	0	0	0	0	0	1	0	1	1	0	1	0	1	1	1	1	5	5	3	2	9	5	3	unicolor	1	pink	148.3839434	77.26115888	73.29728665	8.605538297	33.03700986
17	belle_herminie_B10	belle_herminie	1819	[1810-1819]	[<1800-1829]	Hgal	0	1	76.66666667	NR	1	1	NR40	NR	1	NR56	NR	1	NR58	NR	1	250.653	49.7933	0	3.71667	1	1	0	1	0	1	0	0	0	144.9301677	85.69525226	77.60357615	9.551957709	31.98649107	belle_herminie_B10	1	1	0	1	0	0	0	1	0	0	0	1	0	1	1	0	1	0	3	1	3	NA	5	7	5	2	9	5	3	unicolor	1	pink	144.9301677	85.69525226	77.60357615	9.551957709	31.98649107
19	belvedere_G8	belvedere	1829	[1820-1829]	[<1800-1829]	Hsem	0	1	43.8	NR	1	1	NR28	NR	1	NR40	NR	1	NR39	NR	1	454.647	0.38	0	0	1	0	0	1	0	0	0	0	0	-76.35198747	130.8225437	-102.8359617	56.56362305	-57.17162918	belvedere_G8	0	0	1	1	0	0	0	1	0	0	1	0	0	1	1	0	1	0	3	3	3	3	5	3	1	4	7	1	7	unicolor	1	pink	-76.35198747	130.8225437	-102.8359617	56.56362305	-57.17162918
21	blanc_pur_G4	blanc_pur	1827	[1820-1829]	[<1800-1829]	N	0	1	40.75	NR	1	1	NR142	NR	1	NR205	NR	1	NR207	NR	1	255.43	24.174	8.04	0	1	1	1	1	0	0	3	1	1	-89.05312138	-106.0798522	72.57396957	68.46031165	-38.68751025	blanc_pur_G4	0	0	1	0	1	1	0	0	1	1	0	0	0	1	0	1	0	0	2	2	1	NA	7	3	3	3	3	5	3	unicolor	1	white	-89.05312138	-106.0798522	72.57396957	68.46031165	-38.68751025
26	bouquet_de_venus_D6	bouquet_de_venus	1814	[1810-1819]	[<1800-1829]	Hgal	0	0	15	NR	1	1	NR3	NR	1	NR4	NR	1	NR2	NR	1	375.347	61.8167	0	6.78	1	1	0	1	1	1	0	1	0	143.2546063	87.19330098	76.5833296	9.975063417	31.16188248	bouquet_de_venus_D6	0	1	0	1	0	1	0	0	1	1	0	0	0	1	1	0	1	0	1	2	1	NA	5	3	5	2	3	5	3	unicolor	1	pink	143.2546063	87.19330098	76.5833296	9.975063417	31.16188248
34	chloris_F10	cloris	1814	[1810-1819]	[<1800-1829]	A	0	1	76.2	NR	1	1	NR57	NR	1	NR75	NR	1	NR72	NR	1	81.618	39.374	0	0.12	1	1	0	0	0	1	0	0	0	145.5297694	6.97243187	-14.85161133	20.90616829	19.02514	chloris_F10	0	0	0	1	0	0	0	1	0	0	0	0	1	1	1	0	1	0	3	3	3	3	5	3	1	2	11	3	3	unicolor	1	pink	145.5297694	6.97243187	-14.85161133	20.90616829	19.02514
36	clementine_B4	clementine	1818	[1810-1819]	[<1800-1829]	Hgal	0	1	44.2	NR	1	1	NR184	NR	1	NR258	NR	1	NR263	NR	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	136.9256352	16.62144359	19.79899591	17.60946417	-40.87281866	clementine_B4	1	0	0	0	1	0	1	0	0	0	0	0	0	1	1	0	1	0	2	2	2	2	7	5	3	2	5	5	3	unicolor	1	pink	136.9256352	16.62144359	19.79899591	17.60946417	-40.87281866
52	duchesse_de_montebello_H7	duchesse_de_montebello	1824	[1820-1829]	[<1800-1829]	NA	0	1	110.6	NR	1	1	NR84	NR	1	NR108	NR	1	NR100	NR	1	643.393	63.18	0	4.7	1	1	0	1	1	1	1	1	0	144.341745	81.36257682	74.20063879	9.407595331	32.30102745	duchesse_de_montebello_H7	0	0	0	1	0	0	0	1	0	0	0	0	1	1	0	1	0	0	NA	3	3	3	5	3	1	2	11	5	3	unicolor	1	white	144.341745	81.36257682	74.20063879	9.407595331	32.30102745
53	duchesse_de_portland_C2	duchesse_de_portland	1799	<1800	[<1800-1829]	P	NA	NA	NA	NR	1	1	NR43	NR	1	NR60	NR	1	NR61	NR	1	398.67	174.663	0	0.653333	1	1	0	1	1	1	0	0	0	144.4936583	18.7784379	29.21692171	-1.874099926	-33.08820074	duchesse_de_portland_C2	1	0	0	1	0	1	0	0	0	0	0	0	0	1	1	0	0	1	1	2	1	NA	5	5	3	2	1	5	3	unicolor	1	purple	144.4936583	18.7784379	29.21692171	-1.874099926	-33.08820074
55	duchesse_du_berry_C1	duchesse_du_berry	1818	[1810-1819]	[<1800-1829]	NA	0	1	88	NR	1	1	NR153	NR	1	NR220	NR	1	NR228	NR	1	317.827	114.823	0	0.735714	1	1	0	1	1	1	0	0	0	149.7515664	76.63357166	74.00350729	7.967917765	32.87946085	duchesse_du_berry_C1	1	1	0	1	0	1	0	0	0	0	0	0	1	1	1	0	1	0	2	1	1	NA	5	7	5	2	11	3	3	unicolor	1	pink	149.7515664	76.63357166	74.00350729	7.967917765	32.87946085
65	fulgens_gallique_D1	fulgens_gallique	1828	[1820-1829]	[<1800-1829]	NA	0	1	62	NR	1	1	NA	NA	NA	NR215	NR	1	NR221	NR	1	538.04	133.32	0	0	1	1	0	1	1	0	4	3	2	-42.7414312	-6.959081845	51.25841157	30.43627268	5.251381528	fulgens_gallique_D1	1	0	1	1	0	0	0	1	0	0	1	0	0	1	1	0	1	0	2	3	3	NA	5	5	3	3	7	5	3	unicolor	1	pink	-42.7414312	-6.959081845	51.25841157	30.43627268	5.251381528
74	gloire_des_rosomanes_D1	gloire_des_rosomanes	1825	[1820-1829]	[<1800-1829]	Ch	NA	NA	NA	RF	3	3	RF16	RF	3	RF34	RF	3	RF44	RF	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	1	1	-88.98761968	-52.30979791	-22.5417223	40.06564632	-63.36592416	gloire_des_rosomanes_D1	0	0	1	0	1	0	1	0	1	1	0	0	0	1	1	0	1	0	1	1	2	NA	7	3	1	3	3	3	1	unicolor	1	pink	-88.98761968	-52.30979791	-22.5417223	40.06564632	-63.36592416
81	imperatrice_josephine_E9	imperatrice_josephine	1815	[1810-1819]	[<1800-1829]	Hgal	0	1	47.33333333	NR	1	1	NR88	NR	1	NR118	NR	1	NR112	NR	1	325.58	6.18	0	0	1	0	0	1	0	0	3	0	1	155.8534354	19.58178278	11.90590703	12.49233483	18.3858585	imperatrice_josephine_E9	0	0	0	1	0	0	1	0	1	1	0	0	0	1	1	0	1	0	1	2	2	NA	5	3	3	2	3	5	3	unicolor	1	pink	155.8534354	19.58178278	11.90590703	12.49233483	18.3858585
108	minette_D8	minette	1819	[1810-1819]	[<1800-1829]	C	0	1	55.6	NR	1	1	NR21	NR	1	NR30	NR	1	NR28	NR	1	368.983	78.3367	0	4.93333	1	1	0	1	1	1	0	0	0	156.7693284	-96.34996829	-83.94353609	22.09986752	-69.45953072	minette_D8	0	0	1	1	0	0	1	0	0	0	0	0	1	1	1	0	1	0	2	2	2	2	5	3	3	3	11	5	3	unicolor	1	pink	156.7693284	-96.34996829	-83.94353609	22.09986752	-69.45953072
