periode_corCOP	periode_corCOP_2decades	classification_corCOP	mean_petals_binary_less10	mean_petals_binary_more25	mean_petals	moyTN	CoderemonteeHarmonise3years	codenumremonteeHarmonise3years	codenumremonteeAvg3years	IDJeremyYear1	coderemonteeYear1	codenumremonteeYear1	IDJeremyYear2	coderemonteeYear2	codenumremonteeYear2	IDJeremyYear3	coderemonteeYear3	codenumremonteeYear3	2phenylethanol	geraniol	35dimethoxytoluene	EEfarnesol	2phenylethanol_binary10	geraniol_binary10	35dimethoxytoluene_binary0p1	2phenylethanol_binary100	geraniol_binary50	35dimethoxytoluene_binary0p1	TN2014	TN2015	TN2016	PCo1	PCo2	PCo3	PCo4	PCo5	Name2	Nb_acicules_branch_binaryTatiana	Nb_prickles_branch_binaryTatiana	uper_leaf_shine_binaryTatiana	Plant_Type_BuissonnantOuAutre	Plant_Type_ArbustifOuAutre	Shape2014_CylindriqueOuNon	Shape2014_ConiqueOuNon	Shape2014_SpheriqueOuNon	shape_corolla_FlatOrNot	shape_corolla_EnCoupeOuPas	shape_corolla_GlobuleuseOuPas	shape_corolla_AquartiersOuPas	shape_corolla_ImbriqueeOuPas	color_distribution_UnicolorOrNot	main_petal_color_redpinkpurple_vs_other	main_petal_color_white_vs_other	main_petal_color_rose_vs_other	main_petal_color_purple_vs_other	Shape_2012	Shape_2013	Shape_2014	Shape_across_year	Plant_Type	Nb_acicules_branch	Nb_prickles_branch	uper_leaf_shine	shape_corolla	size_corolla	nb_flowers_per_inflorescence	color_distribution	unicolor_yesorno	main_petal_color	PCo1_2	PCo2_2	PCo3_2	PCo4_2	PCo5_2
[1890-1899]	[1890-1909]	Hmult	0	1	30	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	-165.9628182	31.52568315	-35.76806702	122.7578042	50.90639741	aglaia_H10	0	0	1	1	0	0	0	1	0	0	0	0	0	1	0	1	0	0	NA	2	3	NA	5	3	3	3	1	5	3	unicolor	1	white	-165.9628182	31.52568315	-35.76806702	122.7578042	50.90639741
[1900-1909]	[1890-1909]	Hrg	NA	NA	NA	0	R	2	2.5	NA	NA	NA	RF27	RF	3	R31	R	2	93.9167	9.15	0	0	1	0	0	0	0	0	0	0	0	184.2230589	-154.0270934	-134.4331405	35.41986577	23.86715163	agnes_A3	1	1	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	NA	3	1	NA	7	5	7	2	5	3	1	unicolor	1	yellow	184.2230589	-154.0270934	-134.4331405	35.41986577	23.86715163
[1900-1909]	[1890-1909]	Hwich	0	1	82.6	1.3333333333	NR	1	1	NA	NA	NA	NR150	NR	1	NR143	NR	1	0	0	7.34	21.41	0	0	1	0	0	1	3	1	0	-146.410229	25.01381583	-24.02461615	154.8993559	49.99822957	alberic_barbier_H5	0	0	1	0	0	0	1	0	0	0	0	0	1	1	0	1	0	0	NA	3	2	NA	1	3	3	4	11	3	3	unicolor	1	white	-146.410229	25.01381583	-24.02461615	154.8993559	49.99822957
[1890-1899]	[1890-1909]	M	0	1	52.4	3.6666666667	NR	1	1	NR173	NR	1	NR246	NR	1	NR256	NR	1	207.493	46.9467	0	0	1	1	0	1	0	0	5	5	1	-9.640970301	-39.01887761	78.15585593	-36.95684111	30.07748965	capitaine_basroger_C1	1	1	1	0	1	0	1	0	1	1	0	0	0	1	1	0	0	1	2	2	2	2	7	5	7	3	3	3	3	unicolor	1	purple	-9.640970301	-39.01887761	78.15585593	-36.95684111	30.07748965
[1890-1899]	[1890-1909]	Hset	0	1	101.4	0	NR	1	1	NR41	NR	1	NR57	NR	1	NR59	NR	1	326.163	81.9933	0	1.36333	1	1	0	1	1	1	0	0	0	33.51144545	47.12848731	-22.25913585	-56.41449505	15.96692717	corporal_johann_nagy_D10	1	0	0	1	0	0	0	1	0	0	0	1	0	1	1	0	1	0	3	3	3	3	5	5	3	2	9	3	3	unicolor	1	pink	33.51144545	47.12848731	-22.25913585	-56.41449505	15.96692717
[1890-1899]	[1890-1909]	S	0	0	22.6	0	NR	1	1	NR132	NR	1	NR189	NR	1	NR188	NR	1	775.37	53.8733	0	0	1	1	0	1	1	0	0	0	0	-34.19196352	103.4083019	-0.632975669	67.51731572	-136.2844795	creme_H3	0	0	0	1	0	0	0	1	1	1	0	0	0	1	0	1	0	0	2	3	3	NA	5	3	3	2	3	1	7	unicolor	1	white	-34.19196352	103.4083019	-0.632975669	67.51731572	-136.2844795
[1890-1899]	[1890-1909]	M	0	1	98.4	4.3333333333	NR	1	1	NR127	NR	1	NR179	NR	1	NR176	NR	1	464.62	71.626	0	0.944	1	1	0	1	1	1	5	4	4	39.20578818	0.367278349	32.5575225	-39.38462083	7.415705118	crimson_globe_B3	1	1	0	1	0	0	0	1	0	0	0	0	1	1	1	0	1	0	2	2	3	NA	5	7	5	2	11	5	3	unicolor	1	pink	39.20578818	0.367278349	32.5575225	-39.38462083	7.415705118
[1890-1899]	[1890-1909]	HP	0	1	68.2	2.3333333333	RF	3	2.66	RF56	RF	3	R92	R	2	RF107	RF	3	65.7467	29.2533	0.0633333	0.583333	1	1	0	0	0	1	3	3	1	-90.22275987	-117.6097713	72.34954268	-113.3455754	12.65520488	ernest_morel_C3	1	0	1	NA	NA	0	1	0	0	0	0	0	1	1	1	0	1	0	2	2	2	2	NA	5	3	3	11	5	1	unicolor	1	pink	-90.22275987	-117.6097713	72.34954268	-113.3455754	12.65520488
[1890-1899]	[1890-1909]	Hmult	0	0	10	0.6666666667	NR	1	1.33	NR45	NR	1	NR62	NR	1	R24	R	2	168.287	27.26	0	0	1	1	0	1	0	0	1	1	0	-201.5502012	151.7333885	-166.6097886	-73.32092059	46.2282974	euphrosine_G10	0	0	1	1	0	0	0	1	1	1	0	0	0	1	1	0	1	0	2	3	3	NA	5	3	3	3	3	1	7	unicolor	1	pink	-201.5502012	151.7333885	-166.6097886	-73.32092059	46.2282974
[1900-1909]	[1890-1909]	Hwich	0	1	88.8	0	R	2	2.33	R14	R	2	R14	R	2	RF21	RF	3	0.33	0.226667	0	26.7567	0	0	0	0	0	1	0	0	0	-167.477563	45.6750527	-46.07160698	135.2799271	30.21399301	francois_foucard_C7	0	0	1	1	0	0	0	1	0	0	0	1	0	1	0	1	0	0	3	3	3	3	5	3	1	4	9	5	7	unicolor	1	white	-167.477563	45.6750527	-46.07160698	135.2799271	30.21399301
