index	sampleID2	groupID	sampleID	axis1	axis2	axis3	axis4	axis5	IDshort	ID	Name	Group	reads	mapped	pc_mapped	pc_properly_paired	singletons	mapped_diff_chr	mapped_diff_chr_mapQ
1	duchesse_de_montebello	AncientEU	175580	-0.1583978234	0.1381202545	-0.2338584101	-0.1364732644	-0.1045600014	duches	175580	duchesse_de_montebello	AncientEU	74737258	70414727	94.22	82.56	115702	5053126	2211429
2	blush_damask	AncientEU	175581	-0.1814953746	0.092972727	-0.1586460977	-0.1065954733	-0.1064682346	blushD	175581	blush_damask	AncientEU	65043328	60674291	93.28	84.43	90826	3814216	1677922
3	comtesse_de_murinais	AncientEU	175583	-0.1402336888	0.1129392386	-0.1177138136	-0.0860353993	-0.1735700144	comtes	175583	comtesse_de_murinais	AncientEU	58478547	56357388	96.37	84.26	70559	3734700	1627706
4	fen_zhang_lu	AncientAsia	175584	0.1925718265	-0.0370564298	0.0573660881	0.0619541307	0.023971519	fenZh	175584	fen_zhang_lu	AncientAsia	73447083	72319271	98.46	89.88	74600	3878222	1805760
5	jin_ou_fan_lu	AncientAsia	175585	0.1920231372	-0.0436009754	0.1077204843	-0.0242560706	0.0223138636	JinOu	175585	jin_ou_fan_lu	AncientAsia	55075941	54262298	98.52	89.28	28289	2379496	1065776
6	margerite_de_roman	FirstHyb	175586	0.0214038252	0.046527341	-0.0689903055	-0.064349528	-0.0813678116	Margu	175586	margerite_de_roman	FirstHyb	50185709	48575082	96.79	86.05	36190	2285218	955467
7	triomphe_de_l_exposition	FirstHyb	175587	0.0042576582	0.0564409979	-0.0760119141	-0.0713307176	-0.0808039289	Triomph	175587	triomphe_de_l_exposition	FirstHyb	57453968	54330859	94.56	85.16	50974	2589526	1104087
8	victor_verdier	FirstHyb	175588	0.0980448236	-0.0017967407	0.0363363639	-0.0405780033	-0.0416892639	VictorV	175588	victor_verdier	FirstHyb	40094947	38438076	95.87	88.80	21691	1148892	519033
9	charles_lawson	FirstHyb	175623	0.0179404239	0.0480704549	-0.0618888889	-0.0811023685	-0.0762555331	CharlesL	175623	charles_lawson	FirstHyb	53609496	51731971	96.50	87.54	35866	2184574	936647
10	jacques_cartier_blanc	FirstHyb	175624	-0.0193222686	0.0756957919	-0.1318198188	-0.0840837661	-0.0669690103	JacqC	175624	jacques_cartier_blanc	FirstHyb	48113201	46276546	96.18	86.50	49420	2420146	1063073
11	lady_waterlow	HybTea	175626	0.1414576048	-0.0203794777	0.0650929682	-0.0316646977	-0.0138924963	Ladyw	175626	lady_waterlow	HybTea	50793879	49578239	97.61	87.19	25456	2034936	906074
12	la_tosca	HybTea	175627	0.1314786918	-0.0080265915	0.0459798123	-0.0492772542	-0.0125091615	LaTos	175627	la_tosca	HybTea	53855976	52603052	97.67	89.45	33825	2185966	962030
13	la_favorite	HybTea	175628	0.1237622428	-0.0101944321	0.0598230718	-0.0437202676	-0.0195592492	LaFav	175628	la_favorite	HybTea	51239034	49899378	97.39	86.46	33343	2307510	978264
14	general_kleber	AncientEU	177142	-0.1198834709	0.1136622004	-0.1899771429	-0.1162172107	-0.0806276167	GenKl	177142	general_kleber	AncientEU	69229904	66619571	96.23	74.38	69604	5110578	1693532
15	irene_bonnet	HybTea	177143	0.1439974173	-0.0156834705	0.0634379542	-0.0439298305	-0.0175210746	IreneB	177143	irene_bonnet	HybTea	62901690	61640879	98.00	88.92	43229	2937300	1330348
18	old_blush	AncientAsia	OB2n	0.1863458544	-0.0357206413	0.0586652289	0.0170911224	0.0005233099	OB	OB2nPE	old_blush	AncientAsia	304315430	300740546	98.83	89.19	1068848	18769142	8912042
17	la_france	HybTea	LaFrance	0.0914816036	0.0075971197	0.045151413	-0.0519700331	-0.0403206879	LaFr	LaFrance	la_france	HybTea	159300996	155073022	97.35	83.99	630651	15328454	7960482
16	hume_s_blush_tea_scented	AncientAsia	HumeBlush	0.1976010534	-0.0435424734	0.0917452093	-0.0005423929	0.0250742731	HumesB	HumeBlush	hume_s_blush_tea_scented	AncientAsia	114492418	113057900	98.75	72.69	432222	23640990	15819473
21	rosa_chinensis_sanguinea	AncientAsia	Rchisan	0.1960895087	-0.0493575708	0.1244069499	-0.0283866966	0.0457077255	Rchisan	Rchisan	rosa_chinensis_sanguinea	AncientAsia	108642887	107238244	98.71	75.30	451326	19101806	12799243
20	rosa_chinensis_mutabilis	AncientAsia	Rchimut	0.1828356143	-0.0311536322	0.0682511938	0.0085302794	0.0045147972	Rchimut	Rchimut	rosa_chinensis_mutabilis	AncientAsia	100244214	98582498	98.34	80.38	407852	13654166	8250948
23	rosa_gallica_officinalis	AncientEU	Rgaloff	-0.1460253292	0.1274699077	-0.1774817846	-0.1250156677	-0.143780359	Rgallof	Rgaloff	rosa_gallica_officinalis	AncientEU	295486338	267027328	90.37	NA	NA	NA	NA
31	rosa_x_damascena	AncientEU	Rxdama	-0.1715610853	0.130966978	-0.1195526069	-0.0891684287	-0.2453819456	Rxdama	Rxdama	rosa_x_damascena	AncientEU	135502470	130907365	96.61	78.56	1252233	17475406	8883306
26	rosa_moschata	Botanical	Rmosch	-0.2047982348	0.0370323503	0.1887136006	0.0773262674	-0.0253540444	Rmosch	Rmosch	rosa_moschata	Botanical	139248064	124928977	89.72	NA	NA	NA	NA
22	rosa_chinensis_spontanea	AncientAsia	Rchispo	0.1551100393	-0.0389871451	0.1161016626	-0.0210056453	0.1466006495	Rchispo	Rchispo	rosa_chinensis_spontanea	AncientAsia	NA	NA	NA	NA	NA	NA	NA
30	rosa_xanthina_spontanea	Botanical	Rxanth	-0.2922202153	-0.9198641442	-0.1737807992	-0.0494221446	0.0049674416	Rxanth	Rxanth	rosa_xanthina_spontanea	Botanical	140602874	118039921	83.95	NA	NA	NA	NA
32	yellow_island	HybTea	YellowIsland	0.1187896244	-0.0471760614	0.0482166257	-0.0275930536	-0.0282794331	YellowI	YellowIsland	yellow_island	HybTea	NA	NA	NA	NA	NA	NA	NA
28	rosa_pendulina	Botanical	Rpend	-0.429094769	0.0900620715	0.456959363	0.2280643012	0.1981941857	Rpend	Rpend	rosa_pendulina	Botanical	169328421	164504652	97.15	74.82	1192060	26540758	13653390
29	rosa_wichuraiana_lyon	Botanical	Rwich	0.0991965386	0.0289672414	-0.3944453048	0.8851187629	-0.0729099839	Rwich	Rwich	rosa_wichuraiana_lyon	Botanical	136412251	132315927	97.00	82.69	857817	13973974	7127505
24	rosa_majalis	Botanical	Rmaja	-0.3348012307	0.0808357675	0.3356110259	0.1513161355	0.0313995547	Rmaja	Rmaja	rosa_majalis	Botanical	116890966	113629853	97.21	76.26	815918	17207330	8695712
19	rosa_arvensis	Botanical	Rarve	-0.0894882729	0.1400202099	-0.3559962139	-0.1117052535	0.8674524709	Rarve	Rarve	rosa_arvensis	Botanical	106331890	103757212	97.58	75.19	679072	17229310	8923677
27	rosa_odorata_gigantea	BotanicalAsia?	Rogig	0.1773994659	-0.0470846587	0.1246602326	-0.0141343074	0.0838112092	Rogig	Rogig	rosa_odorata_gigantea	BotanicalAsia?	121193122	119046207	98.23	86.96	610462	9761212	5115415
25	rosa_minutifolia	Botanical	Rminut	-0.1844651901	0.0222437925	0.165923853	0.0691564756	-0.0227111494	Rminut	Rminut	rosa_minutifolia	Botanical	139670490	124122493	88.87	NA	NA	NA	NA
