index	sampleID2	groupID	sampleID	sampleID4	axis1	axis2	axis3	axis4	axis5
1	duchesse_de_montebello	Ancient European	175580	1	-0.1977131301	0.1702144926	-0.1706727431	-0.1107614088	0.0717098285
2	blush_damask	Ancient European	175581	2	-0.2174805287	0.1180623416	-0.0966198071	-0.0945671628	0.0372301774
3	comtesse_de_murinais	Ancient European	175583	3	-0.1697692556	0.1387619828	-0.0544643081	-0.0702006181	0.0092556093
4	fen_zhang_lu	Ancient Asian	175584	7	0.2169871319	-0.0516016205	-0.0419878181	0.1182627812	-0.1375704647
5	jin_ou_fan_lu	Ancient Asian	175585	8	0.2088097055	-0.0629336814	0.0745457831	-0.0484134452	-0.054637474
6	margerite_de_roman	Early European x Asian	175586	15	-0.0041495318	0.0770536222	-0.1072611871	-0.0819093147	-0.0580356703
7	triomphe_de_l_exposition	Early European x Asian	175587	16	-0.0264459519	0.084398847	-0.0989894717	-0.0927591682	-0.0374878509
8	victor_verdier	Hybrid tea roses	175588	20	0.0923420709	0.0070942877	0.0139753629	-0.080240325	-0.0754764273
9	charles_lawson	Early European x Asian	175623	17	-0.0079735533	0.077375347	-0.0810040549	-0.1034353176	-0.0357413881
10	jacques_cartier_blanc	Early European x Asian	175624	18	-0.0588163108	0.1139049166	-0.1593733823	-0.0994696348	-0.0283336937
11	lady_waterlow	Hybrid tea roses	175626	21	0.1487258178	-0.0266450268	0.0326970299	-0.0585974877	-0.0644010382
12	la_tosca	Hybrid tea roses	175627	22	0.1226901599	-0.0009388093	0.0099441509	-0.0857353319	-0.0934525812
13	la_favorite	Hybrid tea roses	175628	23	0.1304466902	-0.0129876715	0.0512112723	-0.0849410603	-0.0782209825
14	general_kleber	Ancient European	177142	5	-0.1598506748	0.1423506703	-0.1378685627	-0.1027779888	0.058833834
15	irene_bonnet	Hybrid tea roses	177143	24	0.1533421774	-0.0187573049	0.0341336883	-0.0866351208	-0.103522415
16	hume_s_blush_tea_scented	Ancient Asian	HumeBlush	10	0.2177746496	-0.0601043702	0.0323865327	0.0038311348	-0.0663472073
17	la_france	Hybrid tea roses	LaFrance	25	0.0777757669	0.0204562782	0.0073412974	-0.06767012	-0.1375682315
18	old_blush	Ancient Asian	OB2n	9	0.202677283	-0.0470647121	-0.017697764	0.0270491829	-0.0490166837
19	rosa_arvensis	Botanical	Rarve	31	-0.1120693533	0.1556459519	-0.2923835114	-0.0255533171	0.1728288243
20	rosa_chinensis_mutabilis	Ancient Asian	Rchimut	12	0.1989170874	-0.0377874892	0.0048219992	0.0090775369	-0.0378177928
21	rosa_chinensis_sanguinea	Ancient Asian	Rchisan	11	0.2150420183	-0.073301826	0.1044013241	-0.0483355087	0.0146057244
22	rosa_chinensis_spontanea	Ancient Asian	Rchispo	14	0.1723912453	-0.0706625689	0.1838673336	-0.049697731	0.9165561613
23	rosa_gallica_officinalis	Ancient European	Rgaloff	4	-0.1742451954	0.1580736306	-0.1207873382	-0.1161830116	0.0263087531
24	rosa_majalis	Botanical	Rmaja	30	-0.2380992661	0.0329592259	0.3391626374	0.1735190773	-0.0410268288
25	rosa_minutifolia	Botanical	Rminut	32	-0.1860223524	-0.0070111579	0.3236484893	0.1737484495	-0.0480513447
26	rosa_moschata	Botanical	Rmosch	26	-0.1972466697	0.0054574612	0.3435694263	0.1671474838	-0.0507672694
27	rosa_odorata_gigantea	Ancient Asian	Rogig	13	0.1937036617	-0.0750531383	0.1211641294	-0.0107824005	-0.0114978835
28	rosa_pendulina	Botanical	Rpend	28	-0.2771598485	0.0277556369	0.3816602046	0.2115184808	-0.0458943103
29	rosa_wichuraiana_lyon	Botanical	Rwich	29	0.0896138524	0.0187460939	-0.4178767933	0.8403817903	0.0690910702
30	rosa_xanthina_spontanea	Botanical	Rxanth	27	-0.354594164	-0.8808697919	-0.2297941764	-0.0956097048	0.0048312266
31	rosa_x_damascena	Ancient European	Rxdama	6	-0.1797947964	0.1471985381	-0.0433143038	-0.0650960669	-0.0077599022
32	yellow_island	Hybrid tea roses	YellowIsland	19	0.1201912645	-0.0697901556	0.0115645607	-0.0451646722	-0.1186237689
