Name	Name_simpl	year_obtained	CoderemonteeHarmonise3years	codenumremonteeHarmonise3years	codenumremonteeAvg3years	IDJeremyYear1	coderemonteeYear1	codenumremonteeYear1	IDJeremyYear2	coderemonteeYear2	codenumremonteeYear2	IDJeremyYear3	coderemonteeYear3	codenumremonteeYear3	Nb_Clust_A3	Lmax_P_A3	Rat_P_A3	Min_M_A3	DifMax_M_A3	Min_V_A3	Area_Peak_Inflo_A3	Reb_Mag_A3	Max_Peak_A3	Max_Reb_A3	First_Reb_A3	Rat_Peak_A3	First_Flo_A3	Cont_Flo_A3	PCo1	PCo2	PCo3	PCo4	PCo5	ID	Axis1	Axis2	Axis3	Axis4	Axis5	ID	date_mathilde	period_corjune2017_mathilde	classification_horti	genetic_group	ploidy_exp	ploidy_obs	DPQ	QCCR	DQCinf0965	missingness	ID_2ndfile	ID2	row_flower	position_flower	plot_flower	row_TN	position_TN	plot_TN	TN2014	TN2015	TN2016	row_flower	position_flower	plot_flower	row_TN	position_TN	plot_TN	mean_petals	Name2	Axis1_pruned	Axis2_pruned	Axis3_pruned	Axis4_pruned	Axis5_pruned
adam_F4	adam	1838	R	2	2	R64	R	2	R91	R	2	R112	R	2	4	-0.497487734	0.644584443	3.229977668	12.91637644	0.370037111	5.787494849	0.075435203	6.065972634	0.254262326	12	0.041916168	2	0	-202.6184497	-83.68701119	61.10386399	145.1305199	27.76088089	adam_F4	-59.77341339	-28.43151016	21.49517656	37.36902489	6.389874419	adam_2_F4	1838	[1830-1839]	T	9	2	2	0.979	96.915	0	0.049	adam	adam_F4	7	50	10	7	50	10	1	NA	0	7	50	10	7	50	10	51	adam_F4	-20.4197022429	-14.0754303164	12.2761953117	-8.2091375986	-5.8375616235
adam_messerich_A8	adam_messerich	1920	RF	3	2.66	R66	R	2	RF86	RF	3	RF112	RF	3	5	-0.841732676	1.32038397	2.342711842	23.02962386	0.645534183	14.10083502	0.23902439	3.34442882	1.44623949	13	0.432432432	1	1	-51.15633087	-54.46923342	56.41315673	-15.07918355	10.13496043	adam_messerich_A8	-13.462915	-15.02609056	15.5919118	-4.308027634	4.40051775	adam_messerich_A8	1920	>1910	B	6	4	4	0.992	91.194	0	0.089	adam_messerich	adam_messerich_A8	Zone 	Zone 	Zone 	Zone 	Zone 	Zone 	3	3	NA	Zone 	Zone 	Zone 	Zone 	Zone 	Zone 	32.2	adam_messerich_A8	-4.153982172	-5.7722225226	5.4485933944	1.7394265434	-1.3527602725
adelaide_d_orleans_E10	adelaide_d_orleans	1826	NR	1	1.33	NR42	NR	1	NR59	NR	1	R22	R	2	2	-0.037664085	0.038382366	8.133333056	19.44897248	2.67073173	7.697889252	0.055646481	15.87606276	1.120663253	18	0.070588235	5	0	-142.1343959	23.75529218	44.71305325	-4.371390824	22.8471221	adelaide_d_orleans_E10	-39.30630173	8.748496244	13.55790462	-4.758344567	4.698356796	adelaide_d_orleans_E10	1826	uncertain	Hsem	10	2	2	0.976	95.925	0	0.056	adelaide_d_orleans	adelaide_d_orleans_E10	6	56	3	6	56	3	4	4	3	6	56	3	6	56	3	22.2	adelaide_d_orleans_E10	-13.1338125602	5.9513846185	5.8513345847	2.332588264	-2.8856755553
aennchen_von_tharau_A2	aennchen_von_tharau	1886	NR	1	1	NR164	NR	1	NR235	NR	1	NR245	NR	1	1	0	0	6.89502505	29	1.491837629	13.61356817	0	14.39896633	0	30	0	3	0	-64.43591753	-16.16637431	-3.988930189	-85.25679299	40.51227057	aennchen_von_tharau_A2	-15.83795801	-1.831934071	-2.212301966	-22.94108415	11.93578947	aennchen_von_tharau_A2	1886	[1880-1889]	Hmult	5	4	4	0.992	91.415	0	0.087	aennchen_von_tharau	aennchen_von_tharau_A2	3	36	10	3	36	10	4	4	1	3	36	10	3	36	10	53	aennchen_von_tharau_A2	-5.1673510201	1.2908672209	-3.1887616251	7.4205988079	-3.679825241
aglaia_H10	aglaia	1895	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-165.9628182	31.52568315	-35.76806702	122.7578042	50.90639741	aglaia_H10	-48.67331491	7.974088222	-7.225866205	36.06664181	13.90212793	aglaia_H10	1895	uncertain	Hmult	11	2	2	0.975	95.919	0	0.075	aglaia	aglaia_H10	1	6	10	1	6	10	0	0	0	1	6	10	1	6	10	30	aglaia_H10	-19.1474440207	-0.2777770597	-1.0888306394	-13.00976968	-6.6074185794
agnes_A3	agnes	1900	R	2	2.5	NA	NA	NA	RF27	RF	3	R31	R	2	3	-0.48959339	0.631652638	3.047009117	8.092150532	0.90010036	21.94859282	0.293650794	8.795878023	2.712747428	7	0.308411215	1	0	184.2230589	-154.0270934	-134.4331405	35.41986577	23.86715163	agnes_A3	48.06244977	-42.47441042	-39.78240767	10.7268741	5.716485621	agnes_chene_A3	1900	[1900-1909]	Hrg	13	2	3	0.949	95.162	1	0.134	agnes	agnes_A3	NA	NA	NA	6	19	3	0	0	0	NA	NA	NA	6	19	3	NA	agnes_A3	19.5187853694	-17.910529902	-12.7829515516	-4.2153461926	-2.8175969589
alberic_barbier_H5	alberic_barbier	1900	NR	1	1	NA	NA	NA	NR150	NR	1	NR143	NR	1	2	-0.409041984	0.505374921	10.09171642	2.627552648	0.635921324	15.35694789	0	18.06699752	0	30	0	8	0	-146.410229	25.01381583	-24.02461615	154.8993559	49.99822957	alberic_barbier_H5	-44.69858861	5.103006304	-3.115304406	45.94278599	13.18691969	alberic_barbier_H5	1900	uncertain	Hwich	9	2	2	0.982	96.24	0	0.059	alberic_barbier	alberic_barbier_H5	14	6	3	14	6	3	3	1	0	14	6	3	14	6	3	82.6	alberic_barbier_H5	-18.0598361713	-2.139461263	1.6006570812	-16.3259288148	-6.8204327352
alfred_colomb_C3	alfred_colomb	1852	NA	NA	2.33	RF47	RF	3	RF71	RF	3	NR193	NR	1	2	-0.680703091	0.975266037	10.5407315	1.935937725	0.413296217	88.2564153	0	22.06410382	0	30	0	10	0	-99.96367709	-110.0149518	25.00530551	-117.2768667	-5.449221897	alfred_colomb_C3	-24.08917223	-26.99751162	4.143147927	-34.3436695	-0.326809478	alfred_colomb_C3	1852	[1850-1859]	HP	6	4	4	0.991	90.715	0	0.099	alfred_colomb	alfred_colomb_C3	5	13	10	5	13	10	4	4	4	5	13	10	5	13	10	65.8	alfred_colomb_C3	-6.3118523614	-9.109349204	0.2556515801	13.3750193406	0.4839963546
anna_maria_de_montravel_C9	anna_maria_de_montravel	1879	R	2	2.33	RF7	RF	3	R7	R	2	R9	R	2	3	-0.222135738	0.248740869	6.738568145	19.24684342	0.3701507	73.18012632	0.042612644	205.5771516	16.25928381	12	0.079090909	5	0	-179.2871992	142.1521351	-154.3697378	-44.31089463	60.68137364	anna_maria_de_montravel_C9	-54.30431428	41.5577058	-41.09543577	-9.91994205	16.81312022	anna_maria_de_montravel_C9	1879	[1870-1879]	Pol	10	2	2	NA	NA	NA	0.08	anna_maria_de_montravel	anna_maria_de_montravel_C9	3	7	1	3	7	1	0	1	1	3	7	1	3	7	1	22.8	anna_maria_de_montravel_C9	-20.8891412191	13.24344397	-18.512531824	1.2164530282	-5.5166154329
antonia_d_ormois_C12	antonia_d_ormois	1835	NA	NA	1.66	RF45	RF	3	NR230	NR	1	NR240	NR	1	2	-0.684233777	0.982252407	11.2696693	1.436514402	0.230256256	1.91909849	0	1.91909849	0	30	0	11	0	137.7437471	67.86946585	59.68022313	13.24699089	9.406964274	antonia_d_ormois_C12	39.42107249	17.81108576	15.39275687	4.778526791	2.41812899	antonia_d_ormois_C12	1835	[1830-1839]	Hgal	2	4	2	0.98	96.833	0	0.043	antonia_d_ormois	antonia_d_ormois_C12	3	4	10	3	4	10	2	3	3	3	4	10	3	4	10	94.8	antonia_d_ormois_C12	12.7580040838	8.447972589	4.9717162616	-2.1099761163	-1.1340252623
