ID	Axis1	Axis2	Axis3	Axis4	Axis5	ID	date_mathilde	period_corjune2017_mathilde	classification_horti	genetic_group	ploidy_exp	ploidy_obs	DPQ	QCCR	DQCinf0965	missingness	ID_2ndfile	ID2	row_flower	position_flower	plot_flower	row_TN	position_TN	plot_TN	TN2014	TN2015	TN2016
adam_F4	-59.7734133861	-28.4315101616	21.4951765615	37.3690248851	6.3898744189	adam_2_F4	1838	[1830-1839]	T	9	2	2	0.979	96.915	0	0.049	adam	adam_F4	7	50	10	7	50	10	1	NA	0
adam_messerich_A8	-13.4629149992	-15.0260905637	15.5919118034	-4.3080276342	4.4005177503	adam_messerich_A8	1920	>1910	B	6	4	4	0.992	91.194	0	0.089	adam_messerich	adam_messerich_A8	Zone 	Zone 	Zone 	Zone 	Zone 	Zone 	3	3	NA
adelaide_d_orleans_E10	-39.3063017348	8.7484962435	13.5579046211	-4.7583445667	4.6983567964	adelaide_d_orleans_E10	1826	uncertain	Hsem	10	2	2	0.976	95.925	0	0.056	adelaide_d_orleans	adelaide_d_orleans_E10	6	56	3	6	56	3	4	4	3
aennchen_von_tharau_A2	-15.8379580092	-1.831934071	-2.2123019657	-22.9410841512	11.9357894747	aennchen_von_tharau_A2	1886	[1880-1889]	Hmult	5	4	4	0.992	91.415	0	0.087	aennchen_von_tharau	aennchen_von_tharau_A2	3	36	10	3	36	10	4	4	1
aglaia_H10	-48.6733149052	7.9740882224	-7.2258662054	36.0666418053	13.9021279339	aglaia_H10	1895	uncertain	Hmult	11	2	2	0.975	95.919	0	0.075	aglaia	aglaia_H10	1	6	10	1	6	10	0	0	0
agnes_A3	48.0624497686	-42.4744104179	-39.7824076686	10.7268741013	5.7164856206	agnes_chene_A3	1900	[1900-1909]	Hrg	13	2	3	0.949	95.162	1	0.134	agnes	agnes_A3	NA	NA	NA	6	19	3	0	0	0
alberic_barbier_H5	-44.6985886095	5.1030063039	-3.115304406	45.9427859936	13.1869196874	alberic_barbier_H5	1900	uncertain	Hwich	9	2	2	0.982	96.24	0	0.059	alberic_barbier	alberic_barbier_H5	14	6	3	14	6	3	3	1	0
alfred_colomb_C3	-24.0891722252	-26.997511624	4.1431479272	-34.3436695034	-0.3268094778	alfred_colomb_C3	1852	[1850-1859]	HP	6	4	4	0.991	90.715	0	0.099	alfred_colomb	alfred_colomb_C3	5	13	10	5	13	10	4	4	4
anna_maria_de_montravel_C9	-54.3043142811	41.5577057962	-41.0954357732	-9.91994205	16.8131202221	anna_maria_de_montravel_C9	1879	[1870-1879]	Pol	10	2	2	NA	NA	NA	0.08	anna_maria_de_montravel	anna_maria_de_montravel_C9	3	7	1	3	7	1	0	1	1
antonia_d_ormois_C12	39.4210724911	17.8110857631	15.3927568727	4.7785267906	2.4181289904	antonia_d_ormois_C12	1835	[1830-1839]	Hgal	2	4	2	0.98	96.833	0	0.043	antonia_d_ormois	antonia_d_ormois_C12	3	4	10	3	4	10	2	3	3
ayrshire_queen_G1	-35.9779352218	-3.8890759698	28.6152218463	0.9072605313	11.754299605	ayrshire_queen_G1	1835	uncertain	Ayr	10	2	2	0.98	96.051	0	0.057	ayrshire_queen	ayrshire_queen_G1	4	28	10	4	28	10	4	1	1
bacchante_A5	43.7910173083	20.9619281887	19.3353054994	4.0687159331	10.0826188816	bacchante_A5	1811	uncertain	Hgal	2	4	2	0.97	97.792	0	0.037	bacchante	bacchante_A5	NA	NA	NA	3	10	6	1	0	0
baron_de_wassenaer_D4	10.1281031382	3.6118468656	0.2372598833	-15.0841034327	-9.5224489096	baron_de_wassenaer_D4	1854	[1850-1859]	M	2	4	4	0.988	93.017	0	0.068	baron_de_wassenaer	baron_de_wassenaer_D4	11	12	6	11	12	6	4	4	NA
beau_narcisse_H5	3.0059903712	6.7718916377	12.7108354543	-0.8818966521	6.9554465974	beau_narcisse_H5	1828	[1820-1829]	Hgal	4	4	3	0.989	92.374	0	0.098	beau_narcisse	beau_narcisse_H5	1	9	1	1	9	1	1	0	2
belle_de_baltimore_G5	-14.8624752807	25.8901585785	3.7994252022	14.3859150565	-41.8469816055	belle_de_baltimore_G5	1843	[1840-1849]	Hset	10	2	2	0.974	96.461	0	0.065	belle_de_baltimore	belle_de_baltimore_G5	14	5	3	14	5	3	1	4	1
belle_helene_A7	43.7344872896	20.4300848141	18.9475717946	3.8823144475	9.6426253557	belle_helene_A7	1815	[1810-1819]	Hgal	2	4	2	0.965	97.767	0	0.038	belle_helene	belle_helene_A7	NA	NA	NA	2	53	1	1	0	0
