Source	Target	Weight
HumeBlush	Old_Blush	level1
Rgaloff	Rxdama	level1
Rgaloff	duchesse_de_montebello	level1
Rxdama	comtesse_de_murinais	level1
duchesse_de_montebello	general_kleber	level1
HumeBlush	Rchimut	level2
HumeBlush	fen_zhang_lu	level2
HumeBlush	jin_ou_fan_lu	level2
LaFrance	YellowIsland	level2
LaFrance	charles_lawson	level2
LaFrance	la_tosca	level2
LaFrance	la_favorite	level2
LaFrance	irene_bonnet	level2
Old_Blush	Rchimut	level2
Old_Blush	fen_zhang_lu	level2
Rchisan	jin_ou_fan_lu	level2
Rgaloff	blush_damask	level2
Rgaloff	comtesse_de_murinais	level2
Rgaloff	general_kleber	level2
Rxdama	duchesse_de_montebello	level2
Rxdama	blush_damask	level2
duchesse_de_montebello	blush_damask	level2
duchesse_de_montebello	comtesse_de_murinais	level2
blush_damask	comtesse_de_murinais	level2
triomphe_de_l_exposition	charles_lawson	level2
la_tosca	la_favorite	level2
la_favorite	irene_bonnet	level2
HumeBlush	LaFrance	level3
HumeBlush	Rchisan	level3
HumeBlush	YellowIsland	level3
HumeBlush	irene_bonnet	level3
LaFrance	Old_Blush	level3
LaFrance	Rchimut	level3
LaFrance	fen_zhang_lu	level3
LaFrance	jin_ou_fan_lu	level3
LaFrance	margerite_de_roman	level3
LaFrance	triomphe_de_l_exposition	level3
LaFrance	victor_verdier	level3
LaFrance	lady_waterlow	level3
Old_Blush	YellowIsland	level3
Old_Blush	jin_ou_fan_lu	level3
Old_Blush	lady_waterlow	level3
Rchimut	jin_ou_fan_lu	level3
Rgaloff	triomphe_de_l_exposition	level3
Rgaloff	jacques_cartier_blanc	level3
Rxdama	general_kleber	level3
YellowIsland	la_tosca	level3
YellowIsland	la_favorite	level3
YellowIsland	irene_bonnet	level3
blush_damask	general_kleber	level3
comtesse_de_murinais	general_kleber	level3
fen_zhang_lu	jin_ou_fan_lu	level3
jin_ou_fan_lu	lady_waterlow	level3
jin_ou_fan_lu	irene_bonnet	level3
margerite_de_roman	triomphe_de_l_exposition	level3
margerite_de_roman	charles_lawson	level3
triomphe_de_l_exposition	jacques_cartier_blanc	level3
lady_waterlow	irene_bonnet	level3
la_tosca	irene_bonnet	level3
