Name	year_obtained	CoderemonteeHarmonise3years	codenumremonteeHarmonise3years	codenumremonteeAvg3years	IDJeremyYear1	coderemonteeYear1	codenumremonteeYear1	IDJeremyYear2	coderemonteeYear2	codenumremonteeYear2	IDJeremyYear3	coderemonteeYear3	codenumremonteeYear3	Nb_Clust_A3	Lmax_P_A3	Rat_P_A3	Min_M_A3	DifMax_M_A3	Min_V_A3	Area_Peak_Inflo_A3	Reb_Mag_A3	Max_Peak_A3	Max_Reb_A3	First_Reb_A3	Rat_Peak_A3	First_Flo_A3	Cont_Flo_A3	PCo1	PCo2	PCo3	PCo4	PCo5
adam_F4	1838	R	2	2	R64	R	2	R91	R	2	R112	R	2	4	-0.497487734318319	0.644584443413494	3.2299776675419	12.916376442284	0.37003711145507	5.78749484879147	0.0754352030947776	6.06597263440277	0.25426232599293	12	0.0419161676646707	2	0	-202.6184496869	-83.6870111851	61.1038639915	145.130519885	27.7608808861
adam_messerich_A8	1920	RF	3	2.66	R66	R	2	RF86	RF	3	RF112	RF	3	5	-0.841732676088558	1.32038396952275	2.34271184240008	23.0296238611489	0.645534183020868	14.1008350232855	0.239024390243902	3.34442881962541	1.44623948956774	13	0.432432432432432	1	1	-51.1563308714	-54.4692334194	56.4131567276	-15.0791835472	10.1349604312
adelaide_d_orleans_E10	1826	NR	1	1.33	NR42	NR	1	NR59	NR	1	R22	R	2	2	-0.037664085088205	0.0383823661660726	8.13333305572164	19.4489724846153	2.67073172989076	7.69788925225629	0.0556464811783961	15.8760627559532	1.1206632533614	18	0.0705882352941176	5	0	-142.1343959304	23.7552921767	44.713053249	-4.3713908244	22.8471221005
aennchen_von_tharau_A2	1886	NR	1	1	NR164	NR	1	NR235	NR	1	NR245	NR	1	1	0	0	6.8950250500732	29	1.49183762860163	13.6135681655558	0	14.3989663289532	0	30	0	3	0	-64.4359175272	-16.1663743105	-3.9889301892	-85.256792985	40.5122705685
aglaia_H10	1895	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-165.9628182191	31.5256831544	-35.7680670187	122.7578041964	50.9063974126
agnes_A3	1900	R	2	2.5	NA	NA	NA	RF27	RF	3	R31	R	2	3	-0.489593389608241	0.631652638136483	3.04700911745132	8.09215053215766	0.900100360378939	21.9485928226423	0.293650793650794	8.79587802255702	2.71274742751759	7	0.308411214953271	1	0	184.2230588859	-154.0270933567	-134.4331405499	35.4198657658	23.8671516272
alberic_barbier_H5	1900	NR	1	1	NA	NA	NA	NR150	NR	1	NR143	NR	1	2	-0.409041983807881	0.505374920530313	10.0917164180626	2.62755264784584	0.635921323926808	15.3569478885361	0	18.0669975159248	0	30	0	8	0	-146.4102290436	25.0138158338	-24.0246161501	154.8993558515	49.9982295669
alfred_colomb_C3	1852	NA	NA	2.33	RF47	RF	3	RF71	RF	3	NR193	NR	1	2	-0.680703091433592	0.975266036750252	10.5407315013275	1.93593772524389	0.413296217483454	88.2564152985892	0	22.0641038246473	0	30	0	10	0	-99.9636770875	-110.0149518455	25.0053055076	-117.2768666808	-5.4492218966
anna_maria_de_montravel_C9	1879	R	2	2.33	RF7	RF	3	R7	R	2	R9	R	2	3	-0.222135738481528	0.248740868550137	6.73856814509404	19.246843416977	0.370150699743653	73.1801263150304	0.0426126440796367	205.577151632884	16.2592838109644	12	0.0790909090909091	5	0	-179.2871992043	142.1521351215	-154.3697378386	-44.3108946263	60.6813736416
antonia_d_ormois_C12	1835	NA	NA	1.66	RF45	RF	3	NR230	NR	1	NR240	NR	1	2	-0.684233777357043	0.982252406822992	11.269669300798	1.436514401711	0.230256256361565	1.91909849016503	0	1.91909849016503	0	30	0	11	0	137.7437471347	67.8694658472	59.6802231305	13.2469908936	9.4069642742
