chr	startwin	endwin	nb_genes
0	1	500000	54
0	500001	1000000	68
0	1000001	1500000	65
0	1500001	2000000	54
0	2000001	2500000	41
0	2500001	3000000	34
0	3000001	3500000	49
0	3500001	4000000	37
0	4000001	4500000	43
0	4500001	5000000	36
0	5000001	5500000	33
0	5500001	6000000	27
0	6000001	6500000	41
0	6500001	7000000	45
0	7000001	7500000	29
0	7500001	8000000	32
0	8000001	8500000	40
0	8500001	9000000	45
0	9000001	9500000	32
0	9500001	10000000	39
0	10000001	10500000	33
0	10500001	11000000	49
0	11000001	11500000	40
0	11500001	12000000	48
0	12000001	12500000	33
0	12500001	13000000	36
0	13000001	13500000	32
0	13500001	14000000	60
0	14000001	14500000	41
0	14500001	15000000	16
0	15000001	15500000	25
0	15500001	16000000	38
0	16000001	16500000	28
0	16500001	17000000	30
0	17000001	17500000	32
0	17500001	18000000	26
0	18000001	18500000	44
0	18500001	19000000	35
0	19000001	19500000	29
0	19500001	20000000	38
0	20000001	20500000	27
0	20500001	21000000	39
0	21000001	21500000	39
0	21500001	22000000	22
0	22000001	22500000	31
0	22500001	23000000	62
0	23000001	23500000	9
0	23500001	24000000	33
0	24000001	24500000	50
0	24500001	25000000	29
0	25000001	25500000	31
0	25500001	26000000	35
0	26000001	26500000	27
0	26500001	27000000	39
0	27000001	27500000	24
0	27500001	28000000	18
0	28000001	28500000	41
0	28500001	29000000	25
0	29000001	29500000	29
0	29500001	30000000	19
0	30000001	30500000	39
0	30500001	31000000	29
0	31000001	31500000	37
0	31500001	32000000	23
0	32000001	32500000	146
0	32500001	33000000	51
0	33000001	33500000	15
0	33500001	34000000	20
0	34000001	34500000	14
0	34500001	35000000	6
0	35000001	35500000	5
0	35500001	36000000	4
0	36000001	36500000	3
0	36500001	37000000	15
0	37000001	37500000	44
0	37500001	38000000	16
0	38000001	38500000	30
0	38500001	39000000	14
0	39000001	39500000	19
0	39500001	40000000	10
0	40000001	40500000	8
0	40500001	41000000	10
0	41000001	41500000	2
