chr	startwin	medianwin	endwin	NbDiagnoSNPs	medianfreqfirsthyb	meanfreqfirsthyb	medianfreqhybtea	meanfreqhybtea
Chr00	-99999	50000	2e+05	58	0.1875	0.228098290598262	0.6875	0.690789473684211
Chr00	-49999	1e+05	250000	60	0.21875	0.247395833333305	0.6875	0.704365079365095
Chr00	1	150000	3e+05	78	0.25	0.253267973856186	0.6875	0.71166666666668
Chr00	50001	2e+05	350000	91	0.1875	0.225694444444418	0.6875	0.6746794871795
Chr00	100001	250000	4e+05	78	0.1875	0.284970238095229	0.6875	0.655241935483871
Chr00	150001	3e+05	450000	86	0.1875	0.30757575757576	0.6875	0.619444444444433
Chr00	200001	350000	5e+05	81	0.21875	0.335833333333338	0.6875	0.625
Chr00	250001	4e+05	550000	106	0.25	0.32274011299432	0.6875	0.632183908045965
Chr00	300001	450000	6e+05	92	0.25	0.348157051282017	0.6875	0.651785714285714
Chr00	350001	5e+05	650000	86	0.333333333333	0.39356884057968	0.6875	0.647786458333344
Chr00	400001	550000	7e+05	96	0.25	0.301870748299298	0.75	0.684626436781621
Chr00	450001	6e+05	750000	95	0.333333333333	0.341485507246361	0.875	0.824142156862765
Chr00	500001	650000	8e+05	77	0.333333333333	0.369517543859621	0.8645833333335	0.819010416666688
Chr00	550001	7e+05	850000	64	0.416666666667	0.424890350877226	0.875	0.822662601626
Chr00	600001	750000	9e+05	65	0.375	0.387061403508797	0.833333333333	0.789186507936476
Chr00	650001	8e+05	950000	77	0.333333333333	0.36367753623192	0.833333333333	0.811507936507881
Chr00	700001	850000	1e+06	73	0.375	0.392361111111139	0.833333333333	0.804824561403447
Chr00	750001	9e+05	1050000	120	0.3125	0.292599502487507	0.75	0.717361111111033
Chr00	800001	950000	1100000	129	0.333333333333	0.300513698630096	0.75	0.724537037036972
Chr00	850001	1e+06	1150000	115	0.25	0.26322751322746	0.6875	0.67119565217387
Chr00	900001	1050000	1200000	124	0.333333333333	0.323809523809486	0.6875	0.696120689655103
Chr00	950001	1100000	1250000	134	0.333333333333	0.345200421940886	0.75	0.745738636363614
Chr00	1000001	1150000	1300000	126	0.333333333333	0.343749999999963	0.75	0.754774305555542
Chr00	1050001	1200000	1350000	91	0.25	0.377487562189069	0.75	0.66995614035086
Chr00	1100001	1250000	1400000	127	0.166666666667	0.2872340425532	0.625	0.540013227513211
Chr00	1150001	1300000	1450000	149	0.1875	0.286644345238088	0.625	0.507705479452045
Chr00	1200001	1350000	1500000	141	0.166666666667	0.24559294871794	0.625	0.47275641025642
Chr00	1250001	1400000	1550000	123	0.125	0.225187265917593	0.333333333333	0.372448979591843
Chr00	1300001	1450000	1600000	123	0.125	0.231854838709665	0.333333333333	0.352040816326537
Chr00	1350001	1500000	1650000	118	0.1875	0.245884773662525	0.59375	0.490833333333346
Chr00	1400001	1550000	1700000	121	0.333333333333	0.333607456140267	0.6875	0.66083333333334
Chr00	1450001	1600000	1750000	104	0.333333333333	0.349999999999927	0.75	0.75
Chr00	1500001	1650000	1800000	106	0.333333333333	0.353825136611944	0.75	0.744670542635674
Chr00	1550001	1700000	1850000	103	0.333333333333	0.348019125682993	0.6875	0.726325757575773
Chr00	1600001	1750000	1900000	101	0.333333333333	0.350574712643614	0.75	0.737887596899233
Chr00	1650001	1800000	1950000	86	0.3125	0.313257575757533	0.6875	0.678952991453
Chr00	1700001	1850000	2e+06	50	0.25	0.295138888888943	0.666666666667	0.670138888888944
Chr00	1750001	1900000	2050000	58	0.25	0.2979166666667	0.6875	0.682180851063872
Chr00	1800001	1950000	2100000	53	0.25	0.307565789473711	0.6875	0.700925925925956
Chr00	1850001	2e+06	2150000	47	0.25	0.286616161616182	0.75	0.708333333333366
Chr00	1900001	2050000	2200000	47	0.1875	0.264322916666688	0.6875	0.693530701754421
Chr00	1950001	2100000	2250000	72	0.1875	0.222916666666664	0.6875	0.7027777777778
Chr00	2000001	2150000	2300000	63	0.1875	0.263180272108841	0.6875	0.714891975308648
