chr	startwin	endwin	NbDiagnoSNPs	medianfreqfirsthyb	meanfreqfirsthyb	medianfreqhybtea	meanfreqhybtea
Chr00	1	1e+05	23	0.333333333333	0.36755952380945	0.875	0.8333333333334
Chr00	100001	2e+05	35	0.125	0.149999999999996	0.6875	0.639880952380929
Chr00	200001	3e+05	20	0.3541666666665	0.335069444444442	0.75	0.777777777777833
Chr00	300001	4e+05	23	0.1875	0.430921052631558	0.6875	0.607954545454545
Chr00	400001	5e+05	38	0.1875	0.241228070175474	0.6458333333335	0.5520833333333
Chr00	500001	6e+05	31	0.333333333333	0.380952380952236	0.916666666667	0.863095238095286
Chr00	600001	7e+05	27	0.2916666666665	0.304687500000019	0.75	0.69097222222225
Chr00	700001	8e+05	19	0.416666666667	0.47916666666675	1	0.913461538461538
Chr00	800001	9e+05	19	0.4270833333335	0.428571428571429	0.833333333333	0.763480392156765
Chr00	900001	1e+06	35	0.3229166666665	0.306547619047643	0.75	0.71614583333325
Chr00	1000001	1100000	75	0.25	0.258796296296222	0.6875	0.670454545454545
Chr00	1100001	1200000	14	0.5	0.611742424242455	0.875	0.7083333333332
Chr00	1200001	1300000	37	0.2916666666665	0.380208333333333	0.75	0.806327160493852
Chr00	1300001	1400000	76	0.125	0.188912429378539	0	0.198717948717935
Chr00	1400001	1500000	28	0.25	0.250992063492	0.3125	0.31597222222225
Chr00	1500001	1600000	19	0.375	0.395833333333308	0.6875	0.753787878787909
Chr00	1600001	1700000	74	0.333333333333	0.35565476190465	0.75	0.776234567901222
Chr00	1700001	1800000	13	0.1875	0.25000000000005	0.5	0.5541666666668
Chr00	1800001	1900000	14	0.34375	0.3895833333334	0.75	0.727272727272727
Chr00	1900001	2e+06	23	0.21875	0.247023809523857	0.666666666667	0.6677083333334
Chr00	2000001	2100000	16	0.21875	0.309523809523786	0.75	0.727678571428571
Chr00	2100001	2200000	8	0.1458333333335	0.16666666666675	0.65625	0.703125
Chr00	2200001	2300000	39	0.166666666667	0.254704301075265	0.6875	0.711226851851861
Chr00	2300001	2400000	21	0.5	0.513480392156882	0.625	0.700396825396857
Chr00	2400001	2500000	8	0.5416666666665	0.494791666666625	0.75	0.791666666666714
Chr00	2500001	2600000	6	0.625	0.576388888889	0.75	0.739583333333333
Chr00	2600001	2700000	32	0.5	0.498188405797143	0.625	0.647376543209889
Chr00	2700001	2800000	9	0.4375	0.45	0.46875	0.364583333333333
Chr00	2800001	2900000	7	0.25	0.3	0.583333333333	0.6333333333334
Chr00	2900001	3e+06	12	0.375	0.445075757575636	0.59375	0.5645833333334
Chr00	3000001	3100000	11	0.333333333333	0.335227272727182	0.5	0.454545454545455
Chr00	3100001	3200000	39	0.625	0.635714285714314	0.6770833333335	0.6402777777778
Chr00	3200001	3300000	29	0.25	0.305555555555518	0.4375	0.462797619047607
Chr00	3300001	3400000	8	0.333333333333	0.3749999999999	0.666666666667	0.6666666666668
Chr00	3400001	3500000	16	0.5416666666665	0.49107142857145	0.6875	0.547222222222267
Chr00	3500001	3600000	44	0.4375	0.4375	0.5	0.534226190476214
Chr00	3600001	3700000	7	0.6875	0.678571428571429	0.5625	0.6125
Chr00	3700001	3800000	8	0.333333333333	0.440972222222167	0.75	0.7375
Chr00	3800001	3900000	8	0.5625	0.595238095238143	0.625	0.552083333333375
Chr00	3900001	4e+06	16	0.375	0.429924242424327	0.5	0.602564102564077
