chr	startwin	endwin	NbDiagnoSNPs	medianfreqfirsthyb	meanfreqfirsthyb	medianfreqhybtea	meanfreqhybtea
Chr01	1	100000	159	0	0.2288306452	0.75	0.77125
Chr01	100001	200000	264	0	0.1322115385	1	0.8366174056
Chr01	200001	300000	26	0	0.0807291667	0.8125	0.8576388889
Chr01	300001	400000	13	0.6666666667	0.5817307692	0.8125	0.859375
Chr01	400001	500000	5	0.625	0.53125	1	0.875
Chr01	500001	600000	12	0.1875	0.3601190476	0.9375	0.8939393939
Chr01	600001	700000	12	0.5	0.4291666667	0.75	0.7824074074
Chr01	700001	800000	6	0	0	0.75	0.7875
Chr01	800001	900000	7	0.3125	0.4553571429	0.78125	0.7916666667
Chr01	900001	1000000	1	NA	NA	NA	NA
Chr01	1000001	1100000	11	0.6666666667	0.5555555556	0.6666666667	0.6041666667
Chr01	1100001	1200000	1	NA	NA	NA	NA
Chr01	1200001	1300000	6	1	1	1	1
Chr01	1300001	1400000	10	0.125	0.2291666667	0.375	0.3898809524
Chr01	1400001	1500000	7	0.875	0.5833333333	0.90625	0.890625
Chr01	1500001	1600000	0	NA	NA	NA	NA
Chr01	1600001	1700000	13	0.5	0.6041666667	0.84375	0.8385416667
Chr01	1700001	1800000	14	0.5	0.45	1	0.9261363636
Chr01	1800001	1900000	9	1	0.869047619	1	0.9642857143
Chr01	1900001	2000000	5	1	1	0.875	0.85
Chr01	2000001	2100000	59	0.6666666667	0.7573529412	1	0.9639423077
Chr01	2100001	2200000	11	0.1666666667	0.2291666667	1	0.9109848485
Chr01	2200001	2300000	15	0.375	0.3392857143	0.9375	0.9111111111
Chr01	2300001	2400000	25	0	0	0.75	0.7670454545
Chr01	2400001	2500000	2	NA	NA	NA	NA
Chr01	2500001	2600000	11	0	0.1875	0.75	0.7333333333
Chr01	2600001	2700000	8	0.4375	0.4458333333	0.71875	0.7734375
Chr01	2700001	2800000	8	0.375	0.40625	0.875	0.875
Chr01	2800001	2900000	53	0.625	0.529454023	1	0.8520833333
Chr01	2900001	3000000	4	NA	NA	NA	NA
Chr01	3000001	3100000	36	0.3125	0.4069444444	1	0.9127604167
Chr01	3100001	3200000	100	0.5	0.5014467593	1	0.9063552189
Chr01	3200001	3300000	39	0.25	0.3741666667	1	0.865990991
Chr01	3300001	3400000	28	0	0.0710227273	0.6875	0.712962963
Chr01	3400001	3500000	282	0	0.2604166667	0.1770833333	0.3611111111
Chr01	3500001	3600000	218	0	0.1022727273	0.5625	0.5625
Chr01	3600001	3700000	20	0.59375	0.5260416667	0.96875	0.9427083333
Chr01	3700001	3800000	14	0.6666666667	0.599702381	0.8541666667	0.7270833333
Chr01	3800001	3900000	13	0.6666666667	0.5642361111	0.9166666667	0.8825757576
Chr01	3900001	4000000	7	0	0.0446428571	0.1875	0.2767857143
Chr01	4000001	4100000	4	NA	NA	NA	NA
Chr01	4100001	4200000	5	0.4166666667	0.4166666667	0.9166666667	0.8916666667
Chr01	4200001	4300000	95	0.4375	0.4673076923	0.875	0.8582746479
Chr01	4300001	4400000	17	0.6666666667	0.6171875	0.8125	0.8480392157
Chr01	4400001	4500000	1	NA	NA	NA	NA
Chr01	4500001	4600000	6	1	0.7777777778	1	0.9375
Chr01	4600001	4700000	21	1	0.787037037	1	0.8461538462
Chr01	4700001	4800000	15	0.6666666667	0.6723484848	1	0.875
Chr01	4800001	4900000	1	NA	NA	NA	NA
Chr01	4900001	5000000	47	0.5833333333	0.5813172043	0.9166666667	0.875
Chr01	5000001	5100000	17	0.6666666667	0.6574074074	1	0.953125
Chr01	5100001	5200000	24	0.6666666667	0.7569444444	1	0.9583333333
Chr01	5200001	5300000	16	0.375	0.4034090909	0.78125	0.6892361111
Chr01	5300001	5400000	11	0.0833333333	0.1076388889	0.75	0.7958333333
Chr01	5400001	5500000	11	0.4375	0.4642857143	0.8125	0.8257575758
Chr01	5500001	5600000	32	0.5	0.4818548387	0.875	0.8071236559
Chr01	5600001	5700000	11	0.6666666667	0.568452381	0.9375	0.90625
Chr01	5700001	5800000	6	0	0.125	0.3125	0.3125
Chr01	5800001	5900000	4	NA	NA	NA	NA
Chr01	5900001	6000000	7	0.5833333333	0.5833333333	1	0.9166666667
Chr01	6000001	6100000	8	0.6666666667	0.5069444444	1	0.8833333333
Chr01	6100001	6200000	1	NA	NA	NA	NA
Chr01	6200001	6300000	8	0.6041666667	0.5703125	0.875	0.859375
Chr01	6300001	6400000	4	NA	NA	NA	NA
Chr01	6400001	6500000	16	0.15625	0.1458333333	0.9166666667	0.8511904762
Chr01	6500001	6600000	52	0.5	0.5528455285	0.8541666667	0.82
Chr01	6600001	6700000	65	0.3333333333	0.3834876543	0.8125	0.7991536458
Chr01	6700001	6800000	12	0.3333333333	0.4444444444	1	1
Chr01	6800001	6900000	11	0	0.1423611111	0.5	0.4761904762
Chr01	6900001	7000000	3	NA	NA	NA	NA
Chr01	7000001	7100000	2	NA	NA	NA	NA
Chr01	7100001	7200000	4	NA	NA	NA	NA
Chr01	7200001	7300000	73	0.75	0.5282407407	1	0.8702651515
Chr01	7300001	7400000	21	0.6666666667	0.4829545455	1	0.8110119048
Chr01	7400001	7500000	7	0.03125	0.2430555556	0.78125	0.765625
Chr01	7500001	7600000	11	0	0.0476190476	0.6666666667	0.5694444444
Chr01	7600001	7700000	1	NA	NA	NA	NA
Chr01	7700001	7800000	29	0.6666666667	0.4711538462	0.3333333333	0.4122807018
Chr01	7800001	7900000	16	0.625	0.5856481481	0.8333333333	0.8263888889
Chr01	7900001	8000000	6	0.5	0.3333333333	0.6666666667	0.6666666667
Chr01	8000001	8100000	8	0.4375	0.5277777778	0.7916666667	0.8151041667
Chr01	8100001	8200000	79	0	0.0200892857	0.75	0.8176406926
Chr01	8200001	8300000	12	0.375	0.3298611111	0.6666666667	0.6458333333
Chr01	8300001	8400000	280	0	0.1389735772	0.5833333333	0.5998958333
Chr01	8400001	8500000	21	0.21875	0.21875	0.6666666667	0.6770833333
Chr01	8500001	8600000	28	0.25	0.2954545455	0.75	0.74375
Chr01	8600001	8700000	13	0.0833333333	0.1979166667	0.3333333333	0.31875
Chr01	8700001	8800000	0	NA	NA	NA	NA
Chr01	8800001	8900000	8	0.9166666667	0.9166666667	0.75	0.7291666667
Chr01	8900001	9000000	14	0.75	0.65625	0.3333333333	0.53125
Chr01	9000001	9100000	7	0.25	0.2222222222	0.75	0.7
Chr01	9100001	9200000	30	0.25	0.3615196078	0.3333333333	0.4333333333
Chr01	9200001	9300000	13	0.4166666667	0.4564393939	0.8125	0.725
Chr01	9300001	9400000	32	0	0.1111111111	0	0
Chr01	9400001	9500000	12	0.5	0.5	0.90625	0.90625
Chr01	9500001	9600000	16	0	0	1	1
Chr01	9600001	9700000	12	0.1145833333	0.203125	1	0.8125
Chr01	9700001	9800000	6	0.1666666667	0.1666666667	0.4583333333	0.4583333333
Chr01	9800001	9900000	10	0.2916666667	0.2291666667	0.75	0.6597222222
Chr01	9900001	10000000	18	0.4375	0.4479166667	0.9166666667	0.859375
Chr01	10000001	10100000	15	0.1875	0.2140151515	0.5625	0.4855769231
Chr01	10100001	10200000	27	0.5833333333	0.609375	0.90625	0.8839285714
Chr01	10200001	10300000	42	0	0.0720486111	0.5625	0.6098958333
Chr01	10300001	10400000	27	0.46875	0.5744047619	0.875	0.8660714286
Chr01	10400001	10500000	19	0.375	0.3846153846	0.75	0.6233974359
Chr01	10500001	10600000	52	0.1875	0.3166666667	0.75	0.7628205128
Chr01	10600001	10700000	18	0.03125	0.1232638889	0.3333333333	0.4564393939
Chr01	10700001	10800000	2	NA	NA	NA	NA
Chr01	10800001	10900000	8	0.3333333333	0.3333333333	0.6145833333	0.6145833333
Chr01	10900001	11000000	20	0	0.1388888889	0.8333333333	0.6212121212
Chr01	11000001	11100000	38	0	0.1742424242	0.9166666667	0.8608630952
Chr01	11100001	11200000	2	NA	NA	NA	NA
Chr01	11200001	11300000	4	NA	NA	NA	NA
Chr01	11300001	11400000	4	NA	NA	NA	NA
Chr01	11400001	11500000	18	0.5	0.4895833333	0.8229166667	0.84375
Chr01	11500001	11600000	17	0.3333333333	0.4739583333	0.7083333333	0.75
Chr01	11600001	11700000	30	0	0.1363636364	0.9375	0.853422619
Chr01	11700001	11800000	40	0.1666666667	0.3	0.75	0.8258928571
Chr01	11800001	11900000	21	0.3333333333	0.2596153846	0.9166666667	0.7444444444
Chr01	11900001	12000000	18	0.0625	0.1354166667	0.6666666667	0.6794871795
Chr01	12000001	12100000	15	0	0.1712962963	0.5625	0.5705128205
Chr01	12100001	12200000	17	0.6666666667	0.6361111111	0.9375	0.8972222222
Chr01	12200001	12300000	39	0	0.0997807018	0.75	0.7601495726
Chr01	12300001	12400000	7	0.6666666667	0.5	0.75	0.8125
Chr01	12400001	12500000	24	0.4166666667	0.4358974359	0.90625	0.8958333333
Chr01	12500001	12600000	12	0.5625	0.5041666667	0.75	0.8257575758
Chr01	12600001	12700000	9	0.3333333333	0.3888888889	0.875	0.875
Chr01	12700001	12800000	5	0.625	0.6041666667	1	0.875
Chr01	12800001	12900000	12	0.5	0.3888888889	0.7083333333	0.625
Chr01	12900001	13000000	10	0.4375	0.4375	0.75	0.7916666667
Chr01	13000001	13100000	11	0.375	0.375	1	0.75
Chr01	13100001	13200000	34	0	0.1	0.2916666667	0.4270833333
Chr01	13200001	13300000	7	0.96875	0.875	1	1
Chr01	13300001	13400000	14	0.75	0.7222222222	0.9375	0.7857142857
Chr01	13400001	13500000	6	NA	NaN	NA	NaN
Chr01	13500001	13600000	37	0.46875	0.4988425926	0.75	0.8049242424
Chr01	13600001	13700000	34	0.3333333333	0.3974358974	0.75	0.7798913043
Chr01	13700001	13800000	16	0.1666666667	0.2847222222	0.6666666667	0.7395833333
Chr01	13800001	13900000	82	0	0.1622474747	0.6666666667	0.6736111111
Chr01	13900001	14000000	10	0	0	0.6666666667	0.7161458333
Chr01	14000001	14100000	2	NA	NA	NA	NA
Chr01	14100001	14200000	73	0.25	0.2492283951	0.6666666667	0.6605392157
Chr01	14200001	14300000	41	0.5	0.4391025641	0.6458333333	0.6927083333
Chr01	14300001	14400000	122	0.46875	0.4133184524	0.6666666667	0.6715686275
Chr01	14400001	14500000	18	0.0625	0.1233974359	0.75	0.625
Chr01	14500001	14600000	13	0.2916666667	0.2942708333	0.6875	0.8005952381
Chr01	14600001	14700000	19	0	0.0568181818	0.3125	0.4513888889
Chr01	14700001	14800000	58	0	0.0153985507	0.3333333333	0.3760162602
Chr01	14800001	14900000	10	NA	NaN	0.75	0.7333333333
Chr01	14900001	15000000	5	0	0	0.6666666667	0.6666666667
Chr01	15000001	15100000	49	0.3125	0.3546626984	0.625	0.5998931624
Chr01	15100001	15200000	103	0.6875	0.6236111111	0.9166666667	0.799382716
Chr01	15200001	15300000	103	0.625	0.5560897436	0.6666666667	0.7063253012
Chr01	15300001	15400000	74	0.5625	0.5397727273	0.78125	0.8020833333
Chr01	15400001	15500000	8	0	0.0416666667	0.75	0.7410714286
Chr01	15500001	15600000	223	0	0.0305555556	0.625	0.6581486043
Chr01	15600001	15700000	11	0.4479166667	0.4618055556	0.5625	0.5922619048
Chr01	15700001	15800000	15	0.75	0.6166666667	1	0.8912037037
Chr01	15800001	15900000	38	0	0.0833333333	0.75	0.64375
Chr01	15900001	16000000	29	0.3333333333	0.2777777778	0.5	0.4166666667
