chr	startwin	medianwin	endwin	NbDiagnoSNPs	medianfreqfirsthyb	meanfreqfirsthyb	medianfreqhybtea	meanfreqhybtea
Chr00	-399999	1e+05	6e+05	170	0.25	0.301173139158548	0.6875	0.680031446540887
Chr00	-299999	2e+05	7e+05	197	0.25	0.301645658263283	0.6875	0.682051282051292
Chr00	-199999	3e+05	8e+05	216	0.25	0.312828083989486	0.75	0.720619658119667
Chr00	-99999	4e+05	9e+05	235	0.25	0.324320330969253	0.75	0.7282894736842
Chr00	1	5e+05	1e+06	270	0.3125	0.32271505376343	0.75	0.727346278317136
Chr00	100001	6e+05	1100000	322	0.25	0.303875448028653	0.75	0.716743119266037
Chr00	200001	7e+05	1200000	301	0.333333333333	0.345930232558119	0.75	0.726190476190448
Chr00	300001	8e+05	1300000	318	0.333333333333	0.351109601449257	0.75	0.740906084656063
Chr00	400001	9e+05	1400000	371	0.25	0.301618303571417	0.75	0.651300236406598
Chr00	500001	1e+06	1500000	361	0.25	0.301991150442458	0.75	0.630099067599051
Chr00	600001	1100000	1600000	349	0.25	0.302499999999987	0.6875	0.628259637188193
Chr00	700001	1200000	1700000	396	0.25	0.31125498007965	0.6875	0.648276748971175
Chr00	800001	1300000	1800000	390	0.25	0.304384203480556	0.6875	0.622835497835482
Chr00	900001	1400000	1900000	385	0.25	0.300765306122418	0.6875	0.614442567567563
Chr00	1000001	1500000	2e+06	373	0.25	0.297363945578202	0.6875	0.616015625000008
Chr00	1100001	1600000	2100000	314	0.25	0.306269470404964	0.6875	0.621932515337431
Chr00	1200001	1700000	2200000	308	0.25	0.287338969404166	0.6875	0.618497876857766
Chr00	1300001	1800000	2300000	310	0.25	0.272196261682222	0.666666666667	0.608057228915676
Chr00	1400001	1900000	2400000	255	0.3125	0.324612403100749	0.6875	0.686206004140807
Chr00	1500001	2e+06	2500000	235	0.3125	0.342898322851131	0.6875	0.719417735042756
Chr00	1600001	2100000	2600000	222	0.3125	0.347587719298229	0.6875	0.717715231788099
Chr00	1700001	2200000	2700000	180	0.3125	0.371083959899773	0.6875	0.694674392936007
Chr00	1800001	2300000	2800000	176	0.3229166666665	0.379577020202042	0.6875	0.686266447368441
Chr00	1900001	2400000	2900000	169	0.3125	0.37565616797902	0.666666666667	0.681364155251164
Chr00	2000001	2500000	3e+06	158	0.333333333333	0.396337365591399	0.666666666667	0.674785539215706
Chr00	2100001	2600000	3100000	153	0.333333333333	0.400826446280988	0.625	0.651002506265684
Chr00	2200001	2700000	3200000	184	0.5	0.46107456140351	0.625	0.647667714884717
Chr00	2300001	2800000	3300000	174	0.5	0.475929054054049	0.625	0.598233995585007
Chr00	2400001	2900000	3400000	161	0.5	0.466183574879214	0.625	0.584876543209896
Chr00	2500001	3e+06	3500000	169	0.5	0.467013888888881	0.625	0.570804195804217
Chr00	2600001	3100000	3600000	207	0.4375	0.456587523277458	0.5625	0.556564245810078
Chr00	2700001	3200000	3700000	182	0.4375	0.460250511247427	0.5625	0.542728237791955
Chr00	2800001	3300000	3800000	181	0.4375	0.459857723577217	0.5625	0.555822649572673
Chr00	2900001	3400000	3900000	182	0.4375	0.470381526104401	0.5625	0.553197064989541
Chr00	3000001	3500000	4e+06	186	0.4375	0.469377510040158	0.5625	0.556455761316889
Chr00	3100001	3600000	4100000	194	0.5	0.478679337231972	0.5625	0.559176891615558
Chr00	3200001	3700000	4200000	159	0.3958333333335	0.442330917874393	0.5	0.548509732360109
Chr00	3300001	3800000	4300000	145	0.4375	0.479166666666674	0.53125	0.561793785310754
Chr00	3400001	3900000	4400000	154	0.4375	0.469551282051299	0.5	0.541501322751333
Chr00	3500001	4e+06	4500000	143	0.4375	0.460763888888905	0.5	0.536997126436784
Chr00	3600001	4100000	4600000	102	0.4270833333335	0.471614583333357	0.53125	0.540296052631566
Chr00	3700001	4200000	4700000	100	0.375	0.458333333333363	0.5	0.537385844748849
Chr00	3800001	4300000	4800000	106	0.4375	0.470883534136574	0.5	0.520325203252012
Chr00	3900001	4400000	4900000	108	0.4270833333335	0.476017441860484	0.5	0.534474206349179
Chr00	4000001	4500000	5e+06	97	0.5	0.492616033755278	0.5	0.545230263157868
Chr00	4100001	4600000	5100000	91	0.5	0.521118721461196	0.5625	0.592905405405392
Chr00	4200001	4700000	5200000	103	0.5	0.54626937984498	0.625	0.638323643410849
Chr00	4300001	4800000	5300000	98	0.5625	0.577876984127004	0.6875	0.687009803921565
Chr00	4400001	4900000	5400000	116	0.5625	0.579506802721091	0.75	0.729609929078043
Chr00	4500001	5e+06	5500000	170	0.5	0.566522988505744	0.666666666667	0.730666666666752
Chr00	4600001	5100000	5600000	187	0.5625	0.578252032520323	0.6875	0.74246453900717
Chr00	4700001	5200000	5700000	215	0.5625	0.583006108202439	0.6875	0.753263052208904
Chr00	4800001	5300000	5800000	222	0.5625	0.588435374149658	0.75	0.77071005917168
Chr00	4900001	5400000	5900000	275	0.583333333333	0.606956066945615	0.75	0.778846153846236
Chr00	5000001	5500000	6e+06	283	0.583333333333	0.604335357624842	0.75	0.773546511627986
Chr00	5100001	5600000	6100000	286	0.583333333333	0.606068121693129	0.75	0.773809523809599
Chr00	5200001	5700000	6200000	304	0.5625	0.588561173533086	0.6875	0.744227994228069
Chr00	5300001	5800000	6300000	306	0.5625	0.580080545229245	0.6875	0.738871082621158
Chr00	5400001	5900000	6400000	278	0.5625	0.590840080971665	0.75	0.742770167427772
Chr00	5500001	6e+06	6500000	222	0.625	0.611913735343393	0.75	0.756160394265274
Chr00	5600001	6100000	6600000	213	0.625	0.618421052631591	0.75	0.762055243445736
Chr00	5700001	6200000	6700000	189	0.625	0.624500998004002	0.75	0.753428270042241
Chr00	5800001	6300000	6800000	177	0.666666666667	0.630440552016996	0.75	0.759583333333373
Chr00	5900001	6400000	6900000	115	0.625	0.605753968253965	0.75	0.74918300653598
Chr00	6000001	6500000	7e+06	139	0.5625	0.564049586776854	0.8125	0.784607438016562
Chr00	6100001	6600000	7100000	177	0.4375	0.487012987012969	0.875	0.813582251082273
Chr00	6200001	6700000	7200000	219	0.375	0.412930253623173	0.875	0.859722222222241
Chr00	6300001	6800000	7300000	240	0.333333333333	0.380389718076268	0.875	0.858547507788178
Chr00	6400001	6900000	7400000	247	0.333333333333	0.366302588996748	0.875	0.861837121212136
Chr00	6500001	7e+06	7500000	251	0.333333333333	0.364932216905881	0.875	0.855661434977592
Chr00	6600001	7100000	7600000	312	0.3125	0.345016339869268	0.875	0.853945818610138
Chr00	6700001	7200000	7700000	373	0.333333333333	0.35485651214127	0.875	0.869082125603872
Chr00	6800001	7300000	7800000	376	0.333333333333	0.349428651059076	0.875	0.869219653179199
Chr00	6900001	7400000	7900000	400	0.333333333333	0.358165634674909	0.875	0.870257452574534
Chr00	7000001	7500000	8e+06	403	0.333333333333	0.358422256097548	0.875	0.864722222222227
Chr00	7100001	7600000	8100000	370	0.333333333333	0.366319444444439	0.875	0.859940476190483
Chr00	7200001	7700000	8200000	308	0.375	0.398633069828719	0.875	0.863085045662103
Chr00	7300001	7800000	8300000	288	0.375	0.421453900709217	0.875	0.866313038130384
Chr00	7400001	7900000	8400000	298	0.416666666667	0.433696403872741	0.875	0.860262345679012
Chr00	7500001	8e+06	8500000	300	0.3958333333335	0.432633196721306	0.875	0.856250000000001
Chr00	7600001	8100000	8600000	244	0.4375	0.453176567656754	0.875	0.843750000000006
Chr00	7700001	8200000	8700000	185	0.4375	0.462712314225039	0.833333333333	0.808305369127519
Chr00	7800001	8300000	8800000	178	0.4375	0.460323779193185	0.8125	0.803321678321673
Chr00	7900001	8400000	8900000	170	0.4375	0.479591836734682	0.78125	0.769694010416659
Chr00	8000001	8500000	9e+06	142	0.5	0.518145161290306	0.8125	0.768406148867314
Chr00	8100001	8600000	9100000	237	0.75	0.70288461538461	0.75	0.729166666666662
Chr00	8200001	8700000	9200000	339	0.666666666667	0.662190755208326	0.583333333333	0.579607046070381
Chr00	8300001	8800000	9300000	361	0.666666666667	0.656364468864471	0.46875	0.533528645833248
Chr00	8400001	8900000	9400000	362	0.75	0.680075757575762	0.5	0.537109374999926
Chr00	8500001	9e+06	9500000	384	0.666666666667	0.678754266211602	0.4583333333335	0.536044973544893
Chr00	8600001	9100000	9600000	374	0.75	0.68889377934272	0.333333333333	0.531162464985903
Chr00	8700001	9200000	9700000	385	0.75	0.69610352673493	0.333333333333	0.534284776902807
Chr00	8800001	9300000	9800000	502	0.75	0.698694029850753	0.8125	0.711260330578477
Chr00	8900001	9400000	9900000	518	0.6875	0.691696642685858	0.8125	0.736163522012549
Chr00	9000001	9500000	1e+07	820	0.666666666667	0.659123055162669	0.9375	0.837187118437102
Chr00	9100001	9600000	10100000	766	0.625	0.62394749876177	0.9375	0.847093837534999
Chr00	9200001	9700000	10200000	723	0.625	0.641747754491023	0.9375	0.884813772775992
Chr00	9300001	9800000	10300000	766	0.625	0.639507892293412	0.9375	0.899890190336751
Chr00	9400001	9900000	10400000	784	0.625	0.633823861073529	0.9375	0.904406601123595
Chr00	9500001	1e+07	10500000	804	0.625	0.644353070175447	0.9375	0.902099824098505
Chr00	9600001	10100000	10600000	888	0.625	0.636687599681026	0.9375	0.897437796208532
Chr00	9700001	10200000	10700000	871	0.625	0.63193600648036	0.9375	0.899784913965587
Chr00	9800001	10300000	10800000	759	0.625	0.619138811513467	0.9375	0.895977608494921
Chr00	9900001	10400000	10900000	743	0.625	0.617669753086424	0.9375	0.888209219858155
Chr00	10000001	10500000	1.1e+07	446	0.625	0.616987179487176	0.875	0.850718725718727
Chr00	10100001	10600000	11100000	385	0.625	0.614641203703703	0.875	0.843497304582213
Chr00	10200001	10700000	11200000	331	0.5625	0.585844191096635	0.875	0.81529947916667
Chr00	10300001	10800000	11300000	264	0.5625	0.577841701534167	0.8125	0.776936848958337
Chr00	10400001	10900000	11400000	222	0.5625	0.573911222780563	0.8125	0.747492283950622
Chr00	10500001	1.1e+07	11500000	174	0.5	0.504058441558429	0.75	0.716393849206353
Chr00	10600001	11100000	11600000	90	0.416666666667	0.433441558441558	0.5	0.563271604938275
Chr00	10700001	11200000	11700000	88	0.4375	0.440878378378365	0.5	0.552350427350427
Chr00	10800001	11300000	11800000	88	0.4375	0.450342465753425	0.5625	0.565400843881852
Chr00	10900001	11400000	11900000	72	0.4375	0.447916666666667	0.5625	0.584935897435897
Chr00	11000001	11500000	1.2e+07	64	0.375	0.394230769230769	0.5	0.528409090909084
Chr00	11100001	11600000	12100000	76	0.375	0.395114942528741	0.5	0.507462686567158
Chr00	11200001	11700000	12200000	147	0.375	0.395155826558251	0.875	0.767059178743959
Chr00	11300001	11800000	12300000	190	0.4375	0.434374999999993	0.875	0.823263888888891
Chr00	11400001	11900000	12400000	249	0.5	0.453502415458937	0.9375	0.84706651718984
Chr00	11500001	1.2e+07	12500000	275	0.5	0.450952914798203	0.9375	0.855888429752071
Chr00	11600001	12100000	12600000	346	0.4375	0.432561728395066	0.9375	0.881472491909393
Chr00	11700001	12200000	12700000	454	0.5	0.466319444444449	0.9375	0.885610079575608
Chr00	11800001	12300000	12800000	466	0.5	0.464088397790057	0.9375	0.889888743455509
Chr00	11900001	12400000	12900000	477	0.5	0.463695263628243	1	0.889513710368476
Chr00	12000001	12500000	1.3e+07	489	0.5	0.457739637305706	1	0.898690773067342
Chr00	12100001	12600000	13100000	540	0.416666666667	0.432634164777029	0.9375	0.91150442477877
Chr00	12200001	12700000	13200000	477	0.375	0.427985564304475	1	0.902993109388468
Chr00	12300001	12800000	13300000	463	0.375	0.408662579473223	1	0.894425675675689
Chr00	12400001	12900000	13400000	515	0.3125	0.354638958858117	0.9375	0.869645638629299
Chr00	12500001	1.3e+07	13500000	497	0.3125	0.355240549828196	0.875	0.868570574162696
Chr00	12600001	13100000	13600000	436	0.3125	0.36789772727274	0.833333333333	0.844748858447507
Chr00	12700001	13200000	13700000	330	0.25	0.3052672955975	0.8125	0.835000000000017
Chr00	12800001	13300000	13800000	317	0.25	0.311148218829532	0.8125	0.833261245674758
Chr00	12900001	13400000	13900000	348	0.25	0.33688850967009	0.75	0.803312629399612
Chr00	13000001	13500000	1.4e+07	454	0.4375	0.45833333333334	0.75	0.795249795249828
Chr00	13100001	13600000	14100000	402	0.5	0.505559628543506	0.75	0.777757879656201
Chr00	13200001	13700000	14200000	441	0.5625	0.573306595365426	0.75	0.779265873015917
Chr00	13300001	13800000	14300000	431	0.5625	0.600112612612615	0.75	0.761487538940857
Chr00	13400001	13900000	14400000	346	0.75	0.720266350210975	0.75	0.745797567954275
Chr00	13500001	1.4e+07	14500000	442	0.916666666667	0.787286324786328	0.75	0.780345659164023
Chr00	13600001	14100000	14600000	492	1	0.821872571872576	1	0.813210227272758
