name	Size	S_Pop	Pi_Pop	W_Pop	gc	omega_persite	chr	startwin	endwin	pi_persite_Asia	D_Pop_Asia	pi_persite_Europe	D_Pop_Europe	pi_persite_HybFirst	D_Pop_HybFirst	pi_persite_HybTea	D_Pop_HybTea	RoD_pi_Hyb1stvsAsia	RoD_pi_HybTeavsAsia	RoD_pi_Hyb1stvsEurope	RoD_pi_HybTeavsEurope	RoD_pi_HybTeavsHyb1st	deltaD_Hyb1stvsAsia	deltaD_HybTeavsAsia	deltaD_Hyb1stvsEurope	deltaD_HybTeavsEurope	deltaD_HybTeavsHyb1st
rose_round2.jointvcf_Chr01_32100001-32200000.clean.fst.ASIA.fst.clean.fst	82761	3231	936.028	973.712	0.374392	0.0117653484	Chr01	32100001	32200000	0.0113100132	-0.170092	0.0167278983	0.797343	0.0170176301	1.12105	0.0054289384	-0.361878	-0.5046516597	0.5199883219	-0.0173202731	0.6754560377	0.6809815248	1.291142	0.191786	0.323707	1.159221	1.482928
rose_round2.jointvcf_Chr01_32400001-32500000.clean.fst.ASIA.fst.clean.fst	80394	3748	997.323	1129.52	0.372938	0.0140498047	Chr01	32400001	32500000	0.0124054407	-0.514416	0.0150228873	0.426716	0.0150395052	0.649357	0.0058587035	-0.472383	-0.2123313922	0.5277311299	-0.0011061706	0.6100148169	0.6104457304	1.163773	0.042033	0.222641	0.899099	1.12174
rose_round2.jointvcf_Chr01_32500001-32600000.clean.fst.ASIA.fst.clean.fst	81861	2959	799.667	891.741	0.393751	0.0108933558	Chr01	32500001	32600000	0.0097685955	-0.453762	0.021538186	0.746119	0.0205048916	0.829404	0.0052301146	-0.192652	-1.0990623948	0.4645991301	0.0479750001	0.7571701468	0.744933323	1.283166	0.26111	0.083285	0.938771	1.022056
rose_round2.jointvcf_Chr01_32600001-32700000.clean.fst.ASIA.fst.clean.fst	80706	2650	685.308	798.619	0.376282	0.0098954105	Chr01	32600001	32700000	0.0084914133	-0.623491	0.0154893633	0.34521	0.014569963	0.297855	0.0049512142	-0.516577	-0.7158466443	0.4169151811	0.059356882	0.6803474693	0.6601766126	0.921346	0.106914	0.047355	0.861787	0.814432
rose_round2.jointvcf_Chr01_33500001-33600000.clean.fst.ASIA.fst.clean.fst	72807	2959	827.418	891.741	0.38992	0.0122480119	Chr01	33500001	33600000	0.0113645391	-0.317001	0.0166259398	0.524899	0.0149508815	0.583429	0.0064661072	-0.633475	-0.3155730551	0.4310277694	0.1007496965	0.6110832089	0.5675099696	0.90043	0.316474	0.05853	1.158374	1.216904
rose_round2.jointvcf_Chr01_33600001-33700000.clean.fst.ASIA.fst.clean.fst	82035	3397	897.775	1023.74	0.369065	0.0124793076	Chr01	33600001	33700000	0.0109438045	-0.540785	0.0171554079	0.852185	0.0170823922	1.19042	0.0044896565	-0.7713	-0.5609189883	0.5897535903	0.0042561307	0.7382949721	0.7371763603	1.731205	0.230515	0.338235	1.623485	1.96172
rose_round2.jointvcf_Chr01_34300001-34400000.clean.fst.ASIA.fst.clean.fst	81453	2397	674.491	722.373	0.377618	0.0088685868	Chr01	34300001	34400000	0.0082807386	-0.291256	0.0157628953	0.4375	0.0153168344	0.779256	0.0050756851	-0.598738	-0.8496942316	0.3870492314	0.0282981592	0.6779979199	0.6686204897	1.070512	0.307482	0.341756	1.036238	1.377994
rose_round2.jointvcf_Chr01_34600001-34700000.clean.fst.ASIA.fst.clean.fst	41712	1198	341.194	361.036	0.373406	0.0086554469	Chr01	34600001	34700000	0.0081797564	-0.241291	0.0142222222	0.470778	0.0163437297	1.06188	0.0048684506	-0.33605	-0.9980704614	0.4048171674	-0.1491684942	0.6576870673	0.7021211994	1.303171	0.094759	0.591102	0.806828	1.39793
rose_round2.jointvcf_Chr01_36300001-36400000.clean.fst.ASIA.fst.clean.fst	84573	2237	632.885	674.155	0.377118	0.0079712792	Chr01	36300001	36400000	0.0074832985	-0.268975	0.0192447693	0.790793	0.0177673019	0.850113	0.0057054052	-0.489012	-1.3742607703	0.2375814943	0.076772414	0.7035347569	0.6788817323	1.119088	0.220037	0.05932	1.279805	1.339125
rose_round2.jointvcf_Chr01_36400001-36500000.clean.fst.ASIA.fst.clean.fst	78156	3526	1024.03	1062.62	0.364375	0.0135961411	Chr01	36400001	36500000	0.013102385	-0.159578	0.0135813268	0.725269	0.0143787753	0.877466	0.0055409339	-0.850631	-0.0974166405	0.5771049385	-0.0587165384	0.5920182189	0.6146449344	1.037044	0.691053	0.152197	1.5759	1.728097
